Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Arian Foster,HOU,IND@HOU,42.0,0,0,0,0,0,0,33,231,3,0,1,7,0,0,0,0
Matt Forte,CHI,DET@CHI,38.0,0,0,0,0,0,0,17,50,0,0,7,151,2,0,1,0
Chris Johnson,TEN,OAK@TEN,30.0,0,0,0,0,0,0,27,142,2,0,4,8,0,0,0,0
Darren McFadden,OAK,OAK@TEN,26.0,0,0,0,0,0,0,18,95,0,0,6,55,1,0,0,0
Rashard Mendenhall,PIT,ATL@PIT,21.0,0,0,0,0,0,0,22,120,1,0,2,15,0,0,0,0
Jahvid Best,DET,DET@CHI,20.0,0,0,0,0,0,0,14,20,2,0,5,16,0,0,0,0
LeSean McCoy,PHI,GB@PHI,18.0,0,0,0,0,0,0,7,35,1,0,5,47,0,0,0,0
Tim Hightower,ARI,ARI@STL,17.0,0,0,0,0,0,0,13,54,1,0,4,40,0,0,2,0
Pierre Thomas,NO,MIN@NO,17.0,0,0,0,0,0,0,19,71,1,0,3,15,0,0,0,0
Ronnie Brown,MIA,MIA@BUF,16.0,0,0,0,0,0,0,13,65,1,0,2,20,0,0,0,0
Jamaal Charles,KC,SD@KC,16.0,0,0,0,0,0,0,11,92,1,0,1,8,0,0,0,0
Ahmad Bradshaw,NYG,CAR@NYG,15.0,0,0,0,0,0,0,20,76,1,0,2,17,0,0,1,0
Peyton Hillis,CLE,CLE@TB,15.0,0,0,0,0,0,0,9,41,1,0,4,24,0,0,1,0
Frank Gore,SF,SF@SEA,13.0,0,0,0,0,0,0,17,38,0,0,6,45,0,0,0,0
Maurice Jones-Drew,JAX,DEN@JAX,13.0,0,0,0,0,0,0,23,98,0,0,3,15,0,0,0,0
Knowshon Moreno,DEN,DEN@JAX,13.0,0,0,0,0,0,0,15,60,1,0,1,4,0,0,0,0
Joseph Addai,IND,IND@HOU,12.0,0,0,0,0,0,0,10,44,0,0,6,29,0,0,0,0
Steven Jackson,STL,ARI@STL,12.0,0,0,0,0,0,0,22,81,0,0,4,6,0,0,0,0
