Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Reggie Wayne,IND,DAL@IND,40.0,0,0,0,0,0,0,0,0,0,0,14,200,1,0,0,0
Greg Jennings,GB,SF@GB,30.0,0,0,0,0,0,0,0,0,0,0,6,122,2,0,0,0
Sidney Rice,MIN,BUF@MIN,27.0,0,0,0,0,0,0,0,0,0,0,5,105,2,0,0,0
Anquan Boldin,BAL,PIT@BAL,22.0,0,0,0,0,0,0,0,0,0,0,5,118,1,0,0,0
Andre Johnson,HOU,HOU@PHI,21.0,0,0,0,0,0,0,2,10,0,0,6,149,0,0,0,0
Wes Welker,NE,NYJ@NE,21.0,0,0,0,0,0,0,0,0,0,0,7,80,1,0,0,0
Anthony Armstrong,WAS,WAS@NYG,20.0,0,0,0,0,0,0,0,0,0,0,6,97,1,0,1,0
Pierre Garcon,IND,DAL@IND,20.0,0,0,0,0,0,0,1,11,0,0,8,56,1,0,0,0
Robert Meachem,NO,NO@CIN,19.0,0,0,0,0,0,0,0,0,0,0,3,106,1,0,0,0
Mike Williams,TB,ATL@TB,18.0,0,0,0,0,0,0,0,0,0,0,6,68,1,0,0,0
Earl Bennett,CHI,CHI@DET,17.0,0,0,0,0,0,0,0,0,0,0,7,104,0,0,0,0
Donald Driver,GB,SF@GB,17.0,0,0,0,0,0,0,0,0,0,0,4,73,1,0,0,0
Terrell Owens,CIN,NO@CIN,16.0,0,0,0,0,0,0,0,0,0,0,6,47,1,0,0,0
Deion Branch,NE,NYJ@NE,15.0,0,0,0,0,0,0,0,0,0,0,3,64,1,0,0,0
Marques Colston,NO,NO@CIN,15.0,0,0,0,0,0,0,0,0,0,0,3,65,1,0,0,0
Calvin Johnson,DET,CHI@DET,15.0,0,0,0,0,0,0,0,0,0,0,3,66,1,0,0,0
Santonio Holmes,NYJ,NYJ@NE,14.0,0,0,0,0,0,0,0,0,0,0,7,72,0,0,0,0
Chad Johnson,CIN,NO@CIN,14.0,0,0,0,0,0,0,0,0,0,0,5,96,0,0,0,0
Roddy White,ATL,ATL@TB,14.0,0,0,0,0,0,0,0,0,0,0,7,74,0,0,0,0
Derek Hagan,NYG,WAS@NYG,13.0,0,0,0,0,0,0,0,0,0,0,7,65,0,0,0,0
David Nelson,BUF,BUF@MIN,13.0,0,0,0,0,0,0,0,0,0,0,4,34,1,0,0,0
Davone Bess,MIA,CLE@MIA,12.0,0,0,0,0,0,0,0,0,0,0,6,67,0,0,0,0
Malcom Floyd,SD,OAK@SD,12.0,0,0,0,0,0,0,0,0,0,0,5,72,0,0,0,0
Michael Jenkins,ATL,ATL@TB,12.0,0,0,0,0,0,0,0,0,0,0,3,30,1,0,0,0
Mohamed Massaquoi,CLE,CLE@MIA,12.0,0,0,0,0,0,0,0,0,0,0,4,81,0,0,0,0
Mike Wallace,PIT,PIT@BAL,12.0,0,0,0,0,0,0,0,0,0,0,5,76,0,0,0,0
Brandon Gibson,STL,STL@ARI,11.0,0,0,0,0,0,0,0,0,0,0,6,54,0,0,0,0
DeSean Jackson,PHI,HOU@PHI,11.0,0,0,0,0,0,0,1,0,0,0,3,84,0,0,0,0
Jeremy Maclin,PHI,HOU@PHI,11.0,0,0,0,0,0,0,0,0,0,0,5,68,0,0,0,0
Lee Evans,BUF,BUF@MIN,10.0,0,0,0,0,0,0,0,0,0,0,3,72,0,0,0,0
Larry Fitzgerald,ARI,STL@ARI,10.0,0,0,0,0,0,0,0,0,0,0,4,61,0,0,0,0
Jacoby Jones,HOU,HOU@PHI,10.0,0,0,0,0,0,0,0,0,0,0,2,20,1,0,0,0
Steve Breaston,ARI,STL@ARI,9.0,0,0,0,0,0,0,0,0,0,0,3,62,0,0,0,0
Lance Moore,NO,NO@CIN,9.0,0,0,0,0,0,0,0,0,0,0,6,36,0,0,0,0
Miles Austin,DAL,DAL@IND,8.0,0,0,0,0,0,0,1,6,0,0,4,47,0,0,0,0
Deon Butler,SEA,CAR@SEA,8.0,0,0,0,0,0,0,0,0,0,0,4,43,0,0,0,0
Steve Smith,CAR,CAR@SEA,8.0,0,0,0,0,0,0,0,0,0,0,3,54,0,0,0,0
Brandon Stokley,SEA,CAR@SEA,8.0,0,0,0,0,0,0,0,0,0,0,4,47,0,0,0,0
Sammie Stroughter,TB,ATL@TB,8.0,0,0,0,0,0,0,1,2,0,0,5,39,0,0,0,0
Michael Crabtree,SF,SF@GB,7.0,0,0,0,0,0,0,0,0,0,0,3,45,0,0,0,0
Jacoby Ford,OAK,OAK@SD,7.0,0,0,0,0,0,0,1,3,0,0,1,4,1,0,0,0
Emmanuel Sanders,PIT,PIT@BAL,7.0,0,0,0,0,0,0,0,0,0,0,3,49,0,0,0,0
Donte' Stallworth,BAL,PIT@BAL,7.0,0,0,0,0,0,0,1,-11,0,0,1,67,0,0,0,0
Brandon Tate,NE,NYJ@NE,7.0,0,0,0,0,0,0,1,6,0,0,1,4,1,0,0,0
Mike Thomas,JAX,JAX@TEN,7.0,0,0,0,0,0,0,0,0,0,0,4,31,0,0,0,0
Kevin Walter,HOU,HOU@PHI,7.0,0,0,0,0,0,0,0,0,0,0,4,33,0,0,0,0
Nate Washington,TEN,JAX@TEN,7.0,0,0,0,0,0,0,0,0,0,0,3,40,0,0,0,0
Blair White,IND,DAL@IND,7.0,0,0,0,0,0,0,0,0,0,0,4,32,0,0,0,0
