Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Jacob Tamme,IND,IND@PHI,27.0,0,0,0,0,0,0,0,0,0,0,11,108,1,0,0,0
Aaron Hernandez,NE,NE@CLE,21.0,0,0,0,0,0,0,0,0,0,0,5,48,2,0,0,0
Randy McMichael,SD,SD@HOU,16.0,0,0,0,0,0,0,0,0,0,0,2,23,2,0,0,0
Visanthe Shiancoe,MIN,ARI@MIN,16.0,0,0,0,0,0,0,0,0,0,0,4,66,1,0,0,0
Tony Gonzalez,ATL,TB@ATL,15.0,0,0,0,0,0,0,0,0,0,0,8,72,0,0,0,0
Jimmy Graham,NO,NO@CAR,13.0,0,0,0,0,0,0,0,0,0,0,3,49,1,0,0,0
Tony Moeaki,KC,KC@OAK,12.0,0,0,0,0,0,0,0,0,0,0,6,63,0,0,0,0
Joel Dreessen,HOU,SD@HOU,11.0,0,0,0,0,0,0,0,0,0,0,5,67,0,0,0,0
Greg Olsen,CHI,CHI@BUF,11.0,0,0,0,0,0,0,0,0,0,0,3,29,1,0,0,0
Brandon Pettigrew,DET,NYJ@DET,10.0,0,0,0,0,0,0,0,0,0,0,3,18,1,0,0,0
Dustin Keller,NYJ,NYJ@DET,9.0,0,0,0,0,0,0,0,0,0,0,4,59,0,0,0,0
Michael Palmer,ATL,TB@ATL,9.0,0,0,0,0,0,0,0,0,0,0,2,11,1,0,0,0
Kevin Boss,NYG,NYG@SEA,8.0,0,0,0,0,0,0,0,0,0,0,2,15,1,0,1,0
David Thomas,NO,NO@CAR,8.0,0,0,0,0,0,0,0,0,0,0,4,45,0,0,0,0
Rob Gronkowski,NE,NE@CLE,7.0,0,0,0,0,0,0,0,0,0,0,4,47,0,0,1,0
Jeremy Shockey,NO,NO@CAR,7.0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0
Jason Witten,DAL,DAL@GB,7.0,0,0,0,0,0,0,0,0,0,0,3,44,0,0,0,0
Kellen Winslow,TB,TB@ATL,6.0,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0
Martellus Bennett,DAL,DAL@GB,5.0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0
Anthony Fasano,MIA,MIA@BAL,5.0,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0
Heath Miller,PIT,PIT@CIN,5.0,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0
Brandon Myers,OAK,KC@OAK,5.0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0
Todd Heap,BAL,MIA@BAL,4.0,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0
Jeff King,CAR,NO@CAR,4.0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0
Tony Scheffler,DET,NYJ@DET,4.0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
Jermaine Gresham,CIN,PIT@CIN,3.0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
Dante Rosario,CAR,NO@CAR,3.0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0
Benjamin Watson,CLE,NE@CLE,3.0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0
John Carlson,SEA,NYG@SEA,2.0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0
Jim Dray,ARI,ARI@MIN,2.0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
David Martin,BUF,CHI@BUF,2.0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
Evan Moore,CLE,NE@CLE,2.0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
Matt Spaeth,PIT,PIT@CIN,2.0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
Chris Baker,SEA,NYG@SEA,1.0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
Tom Crabtree,GB,DAL@GB,1.0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
Jeff Dugan,MIN,ARI@MIN,1.0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
Brandon Manumaleuna,CHI,CHI@BUF,1.0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Stephen Spach,ARI,ARI@MIN,1.0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
