Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
David Buehler,DAL,WAS@DAL,15.0,3,3,5,4,0,,,,,,,,,,,
Sebastian Janikowski,OAK,DEN@OAK,13.0,4,4,3,3,0,,,,,,,,,,,
John Kasay,CAR,ARI@CAR,13.0,1,1,4,4,0,,,,,,,,,,,
Clint Stitser,CLE,CLE@CIN,13.0,1,1,4,4,0,,,,,,,,,,,
Billy Cundiff,BAL,NO@BAL,12.0,3,3,3,3,0,,,,,,,,,,,
Stephen Hauschka,DEN,DEN@OAK,11.0,2,2,3,3,0,,,,,,,,,,,
Dave Rayner,DET,DET@TB,11.0,2,2,3,3,0,,,,,,,,,,,
Ryan Succop,KC,KC@STL,11.0,3,3,2,2,1,,,,,,,,,,,
Matt Bryant,ATL,ATL@SEA,10.0,4,4,2,2,0,,,,,,,,,,,
Nate Kaeding,SD,SF@SD,10.0,4,4,2,2,0,,,,,,,,,,,
Adam Vinatieri,IND,JAX@IND,10.0,4,4,2,2,0,,,,,,,,,,,
Josh Brown,STL,KC@STL,9.0,1,1,2,2,1,,,,,,,,,,,
Mason Crosby,GB,GB@NE,9.0,3,3,2,2,0,,,,,,,,,,,
David Akers,PHI,PHI@NYG,8.0,5,5,1,1,0,,,,,,,,,,,
Connor Barth,TB,DET@TB,8.0,2,2,2,2,0,,,,,,,,,,,
Nick Folk,NYJ,NYJ@PIT,8.0,2,2,2,2,0,,,,,,,,,,,
Rob Bironas,TEN,HOU@TEN,7.0,4,4,1,1,0,,,,,,,,,,,
Shayne Graham,NE,GB@NE,7.0,4,4,1,1,0,,,,,,,,,,,
Lawrence Tynes,NYG,PHI@NYG,7.0,4,4,1,1,0,,,,,,,,,,,
Jay Feely,ARI,ARI@CAR,6.0,0,0,2,2,0,,,,,,,,,,,
Garrett Hartley,NO,NO@BAL,6.0,3,3,1,1,0,,,,,,,,,,,
Josh Scobee,JAX,JAX@IND,6.0,3,3,1,1,0,,,,,,,,,,,
Phil Dawson,CLE,CLE@CIN,5.0,2,2,1,1,0,,,,,,,,,,,
Rian Lindell,BUF,BUF@MIA,5.0,2,2,1,1,0,,,,,,,,,,,
Neil Rackers,HOU,HOU@TEN,5.0,2,2,1,1,0,,,,,,,,,,,
Shaun Suisham,PIT,NYJ@PIT,5.0,2,2,1,1,0,,,,,,,,,,,
Olindo Mare,SEA,ATL@SEA,4.0,1,1,1,1,0,,,,,,,,,,,
Dan Carpenter,MIA,BUF@MIA,2.0,2,2,4,0,0,,,,,,,,,,,
Graham Gano,WAS,WAS@DAL,2.0,2,2,0,0,0,,,,,,,,,,,
Ryan Longwell,MIN,CHI@MIN,2.0,2,2,0,0,0,,,,,,,,,,,
Jeff Reed,SF,SF@SD,1.0,1,1,0,0,0,,,,,,,,,,,
