Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Mason Crosby,Green Bay Packers,Green Bay Packers@Philadelphia Eagles,11.0,3,3,2,2,1,,,,,,,,,,,
Jeff Reed,Atlanta Falcons,Atlanta Falcons@Pittsburgh Steelers,11.0,0,0,5,3,1,,,,,,,,,,,
Neil Rackers,Houston Texans,Indianapolis Colts@Houston Texans,10.0,4,4,2,2,0,,,,,,,,,,,
Matt Bryant,Atlanta Falcons,Atlanta Falcons@Pittsburgh Steelers,9.0,0,0,4,3,0,,,,,,,,,,,
Nick Folk,New York Jets,Baltimore Ravens@New York Jets,9.0,0,0,3,3,0,,,,,,,,,,,
David Akers,Philadelphia Eagles,Green Bay Packers@Philadelphia Eagles,8.0,2,2,2,2,0,,,,,,,,,,,
Rob Bironas,Tennessee Titans,Las Vegas Raiders@Tennessee Titans,8.0,5,5,1,1,0,,,,,,,,,,,
Stephen Gostkowski,New England Patriots,Cincinnati Bengals@New England Patriots,8.0,5,5,3,1,0,,,,,,,,,,,
Mike Nugent,Cincinnati Bengals,Cincinnati Bengals@New England Patriots,8.0,3,3,1,1,1,,,,,,,,,,,
Josh Brown,Los Angeles Rams,Arizona Cardinals@Los Angeles Rams,7.0,1,1,3,2,0,,,,,,,,,,,
Dan Carpenter,Miami Dolphins,Miami Dolphins@Buffalo Bills,7.0,1,1,3,2,0,,,,,,,,,,,
Graham Gano,Washington Commanders,Dallas Cowboys@Washington Commanders,7.0,1,1,2,2,0,,,,,,,,,,,
Robbie Gould,Chicago Bears,Detroit Lions@Chicago Bears,7.0,1,1,2,2,0,,,,,,,,,,,
Sebastian Janikowski,Las Vegas Raiders,Las Vegas Raiders@Tennessee Titans,7.0,1,1,3,2,0,,,,,,,,,,,
Olindo Mare,Seattle Seahawks,San Francisco 49ers@Seattle Seahawks,7.0,4,4,1,1,0,,,,,,,,,,,
Matt Prater,Denver Broncos,Denver Broncos@Jacksonville Jaguars,7.0,2,2,1,1,1,,,,,,,,,,,
Lawrence Tynes,New York Giants,Carolina Panthers@New York Giants,7.0,4,4,1,1,0,,,,,,,,,,,
Rian Lindell,Buffalo Bills,Miami Dolphins@Buffalo Bills,6.0,1,1,2,1,1,,,,,,,,,,,
Joe Nedney,San Francisco 49ers,San Francisco 49ers@Seattle Seahawks,6.0,0,0,2,2,0,,,,,,,,,,,
Josh Scobee,Jacksonville Jaguars,Denver Broncos@Jacksonville Jaguars,6.0,3,3,1,1,0,,,,,,,,,,,
Adam Vinatieri,Indianapolis Colts,Indianapolis Colts@Houston Texans,6.0,3,3,1,1,0,,,,,,,,,,,
Connor Barth,Tampa Bay Buccaneers,Cleveland Browns@Tampa Bay Buccaneers,5.0,2,2,1,1,0,,,,,,,,,,,
Jay Feely,Arizona Cardinals,Arizona Cardinals@Los Angeles Rams,5.0,2,2,1,1,0,,,,,,,,,,,
Billy Cundiff,Baltimore Ravens,Baltimore Ravens@New York Jets,4.0,1,1,1,1,0,,,,,,,,,,,
Ryan Longwell,Minnesota Vikings,Minnesota Vikings@New Orleans Saints,3.0,1,0,1,1,0,,,,,,,,,,,
Ryan Succop,Kansas City Chiefs,Los Angeles Chargers@Kansas City Chiefs,3.0,3,3,0,0,0,,,,,,,,,,,
Phil Dawson,Cleveland Browns,Cleveland Browns@Tampa Bay Buccaneers,2.0,2,2,1,0,0,,,,,,,,,,,
Jason Hanson,Detroit Lions,Detroit Lions@Chicago Bears,2.0,2,2,0,0,0,,,,,,,,,,,
Garrett Hartley,New Orleans Saints,Minnesota Vikings@New Orleans Saints,2.0,2,2,2,0,0,,,,,,,,,,,
Nate Kaeding,Los Angeles Chargers,Los Angeles Chargers@Kansas City Chiefs,2.0,2,2,0,0,0,,,,,,,,,,,
David Buehler,Dallas Cowboys,Dallas Cowboys@Washington Commanders,1.0,1,1,1,0,0,,,,,,,,,,,
