Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Jeff Reed,San Francisco 49ers,Seattle Seahawks@San Francisco 49ers,16.0,4,4,4,4,0,,,,,,,,,,,
David Akers,Philadelphia Eagles,Philadelphia Eagles@Dallas Cowboys,14.0,3,3,3,3,1,,,,,,,,,,,
Shayne Graham,New England Patriots,New England Patriots@Chicago Bears,12.0,4,3,3,3,0,,,,,,,,,,,
Adam Vinatieri,Indianapolis Colts,Indianapolis Colts@Tennessee Titans,12.0,3,3,3,3,0,,,,,,,,,,,
David Buehler,Dallas Cowboys,Philadelphia Eagles@Dallas Cowboys,11.0,3,3,2,2,1,,,,,,,,,,,
Shaun Suisham,Pittsburgh Steelers,Cincinnati Bengals@Pittsburgh Steelers,11.0,2,2,3,3,0,,,,,,,,,,,
Connor Barth,Tampa Bay Buccaneers,Tampa Bay Buccaneers@Washington Commanders,9.0,0,0,3,3,0,,,,,,,,,,,
Neil Rackers,Houston Texans,Baltimore Ravens@Houston Texans,8.0,2,2,3,2,0,,,,,,,,,,,
Josh Scobee,Jacksonville Jaguars,Las Vegas Raiders@Jacksonville Jaguars,8.0,5,5,1,1,0,,,,,,,,,,,
Josh Brown,Los Angeles Rams,Los Angeles Rams@New Orleans Saints,7.0,1,1,3,2,0,,,,,,,,,,,
Matt Bryant,Atlanta Falcons,Atlanta Falcons@Carolina Panthers,7.0,4,4,1,1,0,,,,,,,,,,,
Garrett Hartley,New Orleans Saints,Los Angeles Rams@New Orleans Saints,7.0,4,4,1,1,0,,,,,,,,,,,
Stephen Hauschka,Denver Broncos,Denver Broncos@Arizona Cardinals,7.0,1,1,3,2,0,,,,,,,,,,,
Sebastian Janikowski,Las Vegas Raiders,Las Vegas Raiders@Jacksonville Jaguars,7.0,4,4,1,1,0,,,,,,,,,,,
Nate Kaeding,Los Angeles Chargers,Kansas City Chiefs@Los Angeles Chargers,7.0,4,4,1,1,0,,,,,,,,,,,
Rian Lindell,Buffalo Bills,Cleveland Browns@Buffalo Bills,7.0,1,1,2,2,0,,,,,,,,,,,
Phil Dawson,Cleveland Browns,Cleveland Browns@Buffalo Bills,6.0,0,0,2,2,0,,,,,,,,,,,
Nick Folk,New York Jets,Miami Dolphins@New York Jets,6.0,0,0,2,2,0,,,,,,,,,,,
Rob Bironas,Tennessee Titans,Indianapolis Colts@Tennessee Titans,4.0,4,4,0,0,0,,,,,,,,,,,
Dan Carpenter,Miami Dolphins,Miami Dolphins@New York Jets,4.0,1,1,1,1,0,,,,,,,,,,,
Billy Cundiff,Baltimore Ravens,Baltimore Ravens@Houston Texans,4.0,4,4,0,0,0,,,,,,,,,,,
Graham Gano,Washington Commanders,Tampa Bay Buccaneers@Washington Commanders,4.0,1,1,3,1,0,,,,,,,,,,,
John Kasay,Carolina Panthers,Atlanta Falcons@Carolina Panthers,4.0,1,1,1,1,0,,,,,,,,,,,
Mason Crosby,Green Bay Packers,Green Bay Packers@Detroit Lions,3.0,0,0,1,1,0,,,,,,,,,,,
Ryan Longwell,Minnesota Vikings,New York Giants@Minnesota Vikings,3.0,0,0,1,1,0,,,,,,,,,,,
Olindo Mare,Seattle Seahawks,Seattle Seahawks@San Francisco 49ers,3.0,3,3,1,0,0,,,,,,,,,,,
Lawrence Tynes,New York Giants,New York Giants@Minnesota Vikings,3.0,3,3,0,0,0,,,,,,,,,,,
Robbie Gould,Chicago Bears,New England Patriots@Chicago Bears,1.0,1,1,0,0,0,,,,,,,,,,,
Dave Rayner,Detroit Lions,Green Bay Packers@Detroit Lions,1.0,1,1,1,0,0,,,,,,,,,,,
Clint Stitser,Cincinnati Bengals,Cincinnati Bengals@Pittsburgh Steelers,1.0,1,1,0,0,0,,,,,,,,,,,
