Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Miami DolphinsMIA,Miami Dolphins,Miami Dolphins@Minnesota Vikings,24.0,3.0,3,0,1,0,1,10,208,156,364,,,,,,
San Diego ChargersSD,Los Angeles Chargers,Jacksonville Jaguars@Los Angeles Chargers,21.0,2.0,4,0,2,0,0,13,279,71,350,,,,,,
Indianapolis ColtsIND,Indianapolis Colts,New York Giants@Indianapolis Colts,20.0,4.0,1,0,2,0,1,14,137,120,257,,,,,,
Tampa Bay BuccaneersTB,Tampa Bay Buccaneers,Tampa Bay Buccaneers@Carolina Panthers,17.0,4.0,2,0,1,0,0,7,159,119,278,,,,,,
Cincinnati BengalsCIN,Cincinnati Bengals,Baltimore Ravens@Cincinnati Bengals,16.0,1.0,4,0,0,0,0,10,150,109,259,,,,,,
Atlanta FalconsATL,Atlanta Falcons,Arizona Cardinals@Atlanta Falcons,15.0,2.0,3,0,0,0,0,7,149,118,267,,,,,,
Kansas City ChiefsKC,Kansas City Chiefs,Kansas City Chiefs@Cleveland Browns,15.0,1.0,1,0,1,0,1,14,226,73,299,,,,,,
Green Bay PackersGB,Green Bay Packers,Buffalo Bills@Green Bay Packers,15.0,4.0,2,0,0,0,0,7,62,124,186,,,,,,
Denver BroncosDEN,Denver Broncos,Seattle Seahawks@Denver Broncos,13.0,1.0,3,0,1,0,0,14,230,109,339,,,,,,
New Orleans SaintsNO,New Orleans Saints,New Orleans Saints@San Francisco 49ers,11.0,0.0,2,1,2,0,0,22,275,142,417,,,,,,
New York JetsNYJ,New York Jets,New England Patriots@New York Jets,11.0,1.0,2,0,1,0,0,14,239,52,291,,,,,,
Chicago BearsCHI,Chicago Bears,Chicago Bears@Dallas Cowboys,10.0,0.0,2,0,1,0,0,20,374,36,410,,,,,,
Minnesota VikingsMIN,Minnesota Vikings,Miami Dolphins@Minnesota Vikings,10.0,2.0,0,0,2,0,0,14,106,120,226,,,,,,
Tennessee TitansTEN,Tennessee Titans,Pittsburgh Steelers@Tennessee Titans,10.0,4.0,0,0,1,0,0,19,21,106,127,,,,,,
S,Los Angeles Rams,Los Angeles Rams@Las Vegas Raiders,10.0,2.0,2,0,0,0,0,16,231,173,404,,,,,,
Cleveland BrownsCLE,Cleveland Browns,Kansas City Chiefs@Cleveland Browns,9.0,1.0,2,0,0,0,0,16,172,140,312,,,,,,
Jacksonville JaguarsJAX,Jacksonville Jaguars,Jacksonville Jaguars@Los Angeles Chargers,9.0,1.0,2,0,1,1,0,38,326,151,477,,,,,,
Oakland RaidersOAK,Las Vegas Raiders,Los Angeles Rams@Las Vegas Raiders,9.0,3.0,1,0,0,0,0,14,135,75,210,,,,,,
Dallas CowboysDAL,Dallas Cowboys,Chicago Bears@Dallas Cowboys,8.0,1.0,0,0,0,0,1,27,270,38,308,,,,,,
Washington RedskinsWAS,Washington Commanders,Houston Texans@Washington Commanders,7.0,5.0,1,0,0,0,0,30,468,58,526,,,,,,
Houston TexansHOU,Houston Texans,Houston Texans@Washington Commanders,6.0,3.0,0,0,0,1,0,27,403,18,421,,,,,,
Philadelphia EaglesPHI,Philadelphia Eagles,Philadelphia Eagles@Detroit Lions,6.0,2.0,2,0,0,0,0,32,329,115,444,,,,,,
Detroit LionsDET,Detroit Lions,Philadelphia Eagles@Detroit Lions,5.0,5.0,0,0,0,0,0,35,248,162,410,,,,,,
Baltimore RavensBAL,Baltimore Ravens,Baltimore Ravens@Cincinnati Bengals,5.0,1.0,0,0,0,0,0,15,159,94,253,,,,,,
Carolina PanthersCAR,Carolina Panthers,Tampa Bay Buccaneers@Carolina Panthers,4.0,0.0,0,0,0,0,0,20,178,95,273,,,,,,
San Francisco 49ersSF,San Francisco 49ers,New Orleans Saints@San Francisco 49ers,3.0,2.0,0,0,0,0,0,25,237,50,287,,,,,,
New York GiantsNYG,New York Giants,New York Giants@Indianapolis Colts,3.0,1.0,0,0,1,0,0,38,250,160,410,,,,,,
Arizona CardinalsARI,Arizona Cardinals,Arizona Cardinals@Atlanta Falcons,3.0,1.0,0,0,1,0,0,41,223,221,444,,,,,,
New England PatriotsNE,New England Patriots,New England Patriots@New York Jets,3.0,3.0,0,0,0,0,0,28,200,136,336,,,,,,
Seattle SeahawksSEA,Seattle Seahawks,Seattle Seahawks@Denver Broncos,1.0,1.0,0,0,0,0,0,31,304,65,369,,,,,,
Buffalo BillsBUF,Buffalo Bills,Buffalo Bills@Green Bay Packers,0.0,0.0,0,0,0,0,0,34,255,91,346,,,,,,
