Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Neil Rackers,Houston Texans,Houston Texans@Denver Broncos,15.0,2,2,3,3,2,,,,,,,,,,,
Josh Brown,Los Angeles Rams,San Francisco 49ers@Los Angeles Rams,11.0,2,2,3,3,0,,,,,,,,,,,
David Buehler,Dallas Cowboys,Dallas Cowboys@Arizona Cardinals,10.0,3,2,2,2,1,,,,,,,,,,,
Nick Folk,New York Jets,New York Jets@Chicago Bears,10.0,4,4,2,2,0,,,,,,,,,,,
Shayne Graham,New England Patriots,New England Patriots@Buffalo Bills,10.0,4,4,2,2,0,,,,,,,,,,,
Dave Rayner,Detroit Lions,Detroit Lions@Miami Dolphins,10.0,4,4,2,2,0,,,,,,,,,,,
Ryan Succop,Kansas City Chiefs,Tennessee Titans@Kansas City Chiefs,10.0,4,4,3,2,0,,,,,,,,,,,
Dan Carpenter,Miami Dolphins,Detroit Lions@Miami Dolphins,9.0,3,3,2,2,0,,,,,,,,,,,
Mason Crosby,Green Bay Packers,New York Giants@Green Bay Packers,9.0,6,6,1,1,0,,,,,,,,,,,
Jay Feely,Arizona Cardinals,Dallas Cowboys@Arizona Cardinals,9.0,3,3,3,2,0,,,,,,,,,,,
Shaun Suisham,Pittsburgh Steelers,Carolina Panthers@Pittsburgh Steelers,9.0,3,3,3,2,0,,,,,,,,,,,
Connor Barth,Tampa Bay Buccaneers,Seattle Seahawks@Tampa Bay Buccaneers,8.0,5,5,2,1,0,,,,,,,,,,,
Billy Cundiff,Baltimore Ravens,Baltimore Ravens@Cleveland Browns,8.0,2,2,2,2,0,,,,,,,,,,,
Graham Gano,Washington Commanders,Washington Commanders@Jacksonville Jaguars,8.0,2,2,2,2,0,,,,,,,,,,,
Robbie Gould,Chicago Bears,New York Jets@Chicago Bears,8.0,5,5,2,1,0,,,,,,,,,,,
Nate Kaeding,Los Angeles Chargers,Los Angeles Chargers@Cincinnati Bengals,8.0,2,2,2,2,0,,,,,,,,,,,
Garrett Hartley,New Orleans Saints,New Orleans Saints@Atlanta Falcons,7.0,2,2,1,1,1,,,,,,,,,,,
Adam Vinatieri,Indianapolis Colts,Indianapolis Colts@Las Vegas Raiders,7.0,4,4,1,1,0,,,,,,,,,,,
Stephen Hauschka,Houston Texans,Houston Texans@Denver Broncos,6.0,3,3,1,1,0,,,,,,,,,,,
Ryan Longwell,Minnesota Vikings,Minnesota Vikings@Philadelphia Eagles,6.0,3,3,1,1,0,,,,,,,,,,,
Jeff Reed,San Francisco 49ers,San Francisco 49ers@Los Angeles Rams,5.0,2,2,2,1,0,,,,,,,,,,,
Josh Scobee,Jacksonville Jaguars,Washington Commanders@Jacksonville Jaguars,5.0,2,2,2,1,0,,,,,,,,,,,
Lawrence Tynes,New York Giants,New York Giants@Green Bay Packers,5.0,2,2,1,1,0,,,,,,,,,,,
Phil Dawson,Cleveland Browns,Baltimore Ravens@Cleveland Browns,4.0,1,1,1,1,0,,,,,,,,,,,
Clint Stitser,Los Angeles Chargers,Los Angeles Chargers@Cincinnati Bengals,4.0,5,4,0,0,0,,,,,,,,,,,
John Kasay,Carolina Panthers,Carolina Panthers@Pittsburgh Steelers,3.0,0,0,1,1,0,,,,,,,,,,,
Rian Lindell,Buffalo Bills,New England Patriots@Buffalo Bills,3.0,0,0,1,1,0,,,,,,,,,,,
David Akers,Philadelphia Eagles,Minnesota Vikings@Philadelphia Eagles,2.0,2,2,1,0,0,,,,,,,,,,,
Rob Bironas,Tennessee Titans,Tennessee Titans@Kansas City Chiefs,2.0,2,2,0,0,0,,,,,,,,,,,
Matt Bryant,Atlanta Falcons,New Orleans Saints@Atlanta Falcons,2.0,2,2,0,0,0,,,,,,,,,,,
Olindo Mare,Seattle Seahawks,Seattle Seahawks@Tampa Bay Buccaneers,1.0,1,1,0,0,0,,,,,,,,,,,
