Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Rashad Jennings,Jacksonville Jaguars,Cleveland Browns@Jacksonville Jaguars,1.0,0,0,0,0,0,0,2,3,0,0,1,9,0,0,0,0
Bear Pascoe,New York Giants,New York Giants@Philadelphia Eagles,1.0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
Bernard Scott,Cincinnati Bengals,Buffalo Bills@Cincinnati Bengals,1.0,0,0,0,0,0,0,3,-3,0,0,1,-6,0,0,0,0
Mike Sellers,Washington Commanders,Washington Commanders@Tennessee Titans,1.0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0
Chester Taylor,Chicago Bears,Chicago Bears@Miami Dolphins,1.0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,0,0
Leon Washington,Seattle Seahawks,Seattle Seahawks@New Orleans Saints,1.0,0,0,0,0,0,0,1,0,0,0,1,9,0,0,0,0
Lance Ball,Denver Broncos,Denver Broncos@Los Angeles Chargers,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Jackie Battle,Kansas City Chiefs,Arizona Cardinals@Kansas City Chiefs,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mike Bell,Cleveland Browns,Cleveland Browns@Jacksonville Jaguars,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Curtis Brinkley,Los Angeles Chargers,Denver Broncos@Los Angeles Chargers,0.0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0
Tim Castille,Kansas City Chiefs,Arizona Cardinals@Kansas City Chiefs,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jehuu Caulcrick,Buffalo Bills,Buffalo Bills@Cincinnati Bengals,0.0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Jerome Felton,Detroit Lions,Detroit Lions@Dallas Cowboys,0.0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,1,0
Earnest Graham,Tampa Bay Buccaneers,Tampa Bay Buccaneers@San Francisco 49ers,0.0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0
Stefan Logan,Detroit Lions,Detroit Lions@Dallas Cowboys,0.0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
Sammy Morris,New England Patriots,Indianapolis Colts@New England Patriots,0.0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0
Marcel Reece,Las Vegas Raiders,Las Vegas Raiders@Pittsburgh Steelers,0.0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Tony Richardson,New York Jets,Houston Texans@New York Jets,0.0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Javon Ringer,Tennessee Titans,Washington Commanders@Tennessee Titans,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Antone Smith,Atlanta Falcons,Atlanta Falcons@Los Angeles Rams,0.0,0,0,0,0,0,0,1,-3,0,0,0,0,0,0,0,0
Derrick Ward,Houston Texans,Houston Texans@New York Jets,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Darrel Young,Washington Commanders,Washington Commanders@Tennessee Titans,0.0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
