Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Arizona CardinalsARI,ARI,ARI@STL,19.00,2.0,3,0,1,1,0,13,240,85,325
New York GiantsNYG,NYG,CAR@NYG,18.00,4.0,3,0,2,0,0,18,148,89,237
New England PatriotsNE,NE,CIN@NE,18.00,1.0,1,0,1,0,2,24,341,87,428
Washington RedskinsWAS,WAS,DAL@WAS,16.00,1.0,0,0,1,0,1,7,277,103,380
Detroit LionsDET,DET,DET@CHI,16.00,4.0,1,0,3,0,0,19,362,101,463
Tennessee TitansTEN,TEN,OAK@TEN,15.00,4.0,1,0,1,0,0,13,150,136,286
New York JetsNYJ,NYJ,BAL@NYJ,15.00,2.0,1,0,2,0,0,10,233,49,282
St. Louis RamsSTL,STL,ARI@STL,14.00,2.0,0,0,4,0,0,17,266,112,378
Kansas City ChiefsKC,KC,SD@KC,14.00,2.0,0,0,1,0,1,14,280,109,389
Carolina PanthersCAR,CAR,CAR@NYG,13.00,1.0,3,1,1,1,0,31,258,118,376
Miami DolphinsMIA,MIA,MIA@BUF,12.00,3.0,0,1,0,0,0,10,116,50,166
New Orleans SaintsNO,NO,MIN@NO,12.00,1.0,1,0,0,1,0,9,162,91,253
Green Bay PackersGB,GB,GB@PHI,12.00,6.0,0,0,1,0,0,20,171,149,320
Chicago BearsCHI,CHI,DET@CHI,12.00,2.0,1,0,2,0,0,14,148,20,168
Jacksonville JaguarsJAX,JAX,DEN@JAX,11.00,3.0,1,0,1,0,0,17,274,89,363
Baltimore RavensBAL,BAL,BAL@NYJ,11.00,2.0,0,0,1,0,0,9,60,116,176
Pittsburgh SteelersPIT,PIT,ATL@PIT,11.00,2.0,1,0,0,0,0,9,237,58,295
Cleveland BrownsCLE,CLE,CLE@TB,11.00,3.0,1,0,1,0,0,17,169,119,288
Tampa Bay BuccaneersTB,TB,CLE@TB,10.00,0.0,2,0,1,0,0,14,236,104,340
Atlanta FalconsATL,ATL,ATL@PIT,9.00,3.0,1,0,0,0,0,15,211,143,354
Philadelphia EaglesPHI,PHI,GB@PHI,8.00,3.0,2,0,0,0,0,27,167,132,299
Dallas CowboysDAL,DAL,DAL@WAS,8.00,1.0,0,0,0,0,0,13,161,89,250
Buffalo BillsBUF,BUF,MIA@BUF,7.00,3.0,0,0,0,0,0,15,164,132,296
Minnesota VikingsMIN,MIN,MIN@NO,5.00,1.0,0,0,0,0,0,14,229,79,308
Houston TexansHOU,HOU,IND@HOU,5.00,2.0,0,0,1,0,0,24,419,44,463
Oakland RaidersOAK,OAK,OAK@TEN,4.00,2.0,0,0,1,0,0,38,140,205,345
Indianapolis ColtsIND,IND,IND@HOU,4.00,2.0,1,0,0,0,0,34,98,257,355
San Francisco 49ersSF,SF,SF@SEA,3.00,1.0,1,0,0,0,0,31,165,77,242
San Diego ChargersSD,SD,SD@KC,2.00,1.0,0,0,0,0,0,21,62,135,197
Denver BroncosDEN,DEN,DEN@JAX,2.00,1.0,0,0,0,0,0,24,165,134,299
Cincinnati BengalsCIN,CIN,CIN@NE,0.00,0.0,0,0,0,0,0,38,258,118,376
