Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
David BuehlerD. Buehler,DAL,DAL@IND,12.00,3,3,4,3,0
David AkersD. Akers,PHI,HOU@PHI,10.00,4,4,2,2,0
Mason CrosbyM. Crosby,GB,SF@GB,10.00,4,4,3,2,0
Garrett HartleyG. Hartley,NO,NO@CIN,10.00,4,4,2,2,0
Dave RaynerD. Rayner,DET,CHI@DET,10.00,2,2,2,2,1
Jeff ReedJ. Reed,SF,SF@GB,10.00,1,1,3,3,0
Clint StitserC. Stitser,NO,NO@CIN,10.00,2,1,3,3,0
Shayne GrahamS. Graham,NE,NYJ@NE,9.00,6,6,1,1,0
Robbie GouldR. Gould,CHI,CHI@DET,8.00,3,3,1,1,1
Ryan LongwellR. Longwell,MIN,BUF@MIN,8.00,5,5,1,1,0
Phil DawsonP. Dawson,CLE,CLE@MIA,7.00,1,1,3,2,0
Nate KaedingN. Kaeding,SD,OAK@SD,7.00,1,1,3,2,0
Olindo MareO. Mare,SEA,CAR@SEA,7.00,4,4,2,1,0
Shaun SuishamS. Suisham,PIT,PIT@BAL,7.00,1,1,2,2,0
Lawrence TynesL. Tynes,NYG,WAS@NYG,7.00,4,4,1,1,0
Connor BarthC. Barth,TB,ATL@TB,6.00,3,3,1,1,0
Rob BironasR. Bironas,TEN,JAX@TEN,6.00,0,0,2,2,0
Dan CarpenterD. Carpenter,MIA,CLE@MIA,6.00,1,1,2,1,1
Jay FeelyJ. Feely,ARI,STL@ARI,6.00,0,0,2,2,0
Matt PraterM. Prater,DEN,DEN@KC,6.00,0,0,2,2,0
Neil RackersN. Rackers,HOU,HOU@PHI,6.00,3,3,1,1,0
Josh ScobeeJ. Scobee,JAX,JAX@TEN,5.00,2,2,3,1,0
Adam VinatieriA. Vinatieri,IND,DAL@IND,5.00,5,5,0,0,0
Matt BryantM. Bryant,ATL,ATL@TB,4.00,4,4,0,0,0
Billy CundiffB. Cundiff,BAL,PIT@BAL,4.00,1,1,1,1,0
Sebastian JanikowskiS. Janikowski,OAK,OAK@SD,4.00,4,4,0,0,0
Ryan SuccopR. Succop,KC,DEN@KC,4.00,1,1,1,1,0
Nick FolkN. Folk,NYJ,NYJ@NE,3.00,0,0,2,1,0
John KasayJ. Kasay,CAR,CAR@SEA,2.00,2,2,0,0,0
Rian LindellR. Lindell,BUF,BUF@MIN,2.00,2,2,0,0,0
Graham GanoG. Gano,WAS,WAS@NYG,1.00,1,1,1,0,0
