Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Jeff ReedJ. Reed,SF,SEA@SF,16.00,4,4,4,4,0
David AkersD. Akers,PHI,PHI@DAL,14.00,3,3,3,3,1
Shayne GrahamS. Graham,NE,NE@CHI,12.00,4,3,3,3,0
Adam VinatieriA. Vinatieri,IND,IND@TEN,12.00,3,3,3,3,0
David BuehlerD. Buehler,DAL,PHI@DAL,11.00,3,3,2,2,1
Shaun SuishamS. Suisham,PIT,CIN@PIT,11.00,2,2,3,3,0
Connor BarthC. Barth,TB,TB@WAS,9.00,0,0,3,3,0
Neil RackersN. Rackers,HOU,BAL@HOU,8.00,2,2,3,2,0
Josh ScobeeJ. Scobee,JAX,OAK@JAX,8.00,5,5,1,1,0
Josh BrownJ. Brown,STL,STL@NO,7.00,1,1,3,2,0
Matt BryantM. Bryant,ATL,ATL@CAR,7.00,4,4,1,1,0
Garrett HartleyG. Hartley,NO,STL@NO,7.00,4,4,1,1,0
Stephen HauschkaS. Hauschka,DEN,DEN@ARI,7.00,1,1,3,2,0
Sebastian JanikowskiS. Janikowski,OAK,OAK@JAX,7.00,4,4,1,1,0
Nate KaedingN. Kaeding,SD,KC@SD,7.00,4,4,1,1,0
Rian LindellR. Lindell,BUF,CLE@BUF,7.00,1,1,2,2,0
Phil DawsonP. Dawson,CLE,CLE@BUF,6.00,0,0,2,2,0
Nick FolkN. Folk,NYJ,MIA@NYJ,6.00,0,0,2,2,0
Rob BironasR. Bironas,TEN,IND@TEN,4.00,4,4,0,0,0
Dan CarpenterD. Carpenter,MIA,MIA@NYJ,4.00,1,1,1,1,0
Billy CundiffB. Cundiff,BAL,BAL@HOU,4.00,4,4,0,0,0
Graham GanoG. Gano,WAS,TB@WAS,4.00,1,1,3,1,0
John KasayJ. Kasay,CAR,ATL@CAR,4.00,1,1,1,1,0
Mason CrosbyM. Crosby,GB,GB@DET,3.00,0,0,1,1,0
Ryan LongwellR. Longwell,MIN,NYG@MIN,3.00,0,0,1,1,0
Olindo MareO. Mare,SEA,SEA@SF,3.00,3,3,1,0,0
Lawrence TynesL. Tynes,NYG,NYG@MIN,3.00,3,3,0,0,0
Robbie GouldR. Gould,CHI,NE@CHI,1.00,1,1,0,0,0
Dave RaynerD. Rayner,DET,GB@DET,1.00,1,1,1,0,0
Clint StitserC. Stitser,CIN,CIN@PIT,1.00,1,1,0,0,0
