Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Jeff ReedJ. Reed,PIT,PIT@TEN,13.00,1,1,4,4,0
Neil RackersN. Rackers,HOU,HOU@WAS,12.00,3,3,4,3,0
Matt BryantM. Bryant,ATL,ARI@ATL,11.00,5,5,2,2,0
Garrett HartleyG. Hartley,NO,NO@SF,11.00,2,2,3,3,0
Mason CrosbyM. Crosby,GB,BUF@GB,10.00,4,4,2,2,0
Sebastian JanikowskiS. Janikowski,OAK,STL@OAK,10.00,1,1,4,3,0
Ryan SuccopR. Succop,KC,KC@CLE,10.00,1,1,3,3,0
Graham GanoG. Gano,WAS,HOU@WAS,9.00,3,3,4,2,0
Robbie GouldR. Gould,CHI,CHI@DAL,9.00,3,3,2,2,0
Connor BarthC. Barth,TB,TB@CAR,8.00,2,2,2,2,0
David BuehlerD. Buehler,DAL,CHI@DAL,8.00,2,2,3,2,0
Nick FolkN. Folk,NYJ,NE@NYJ,8.00,2,2,2,2,0
Nate KaedingN. Kaeding,SD,JAX@SD,8.00,5,5,1,1,0
Adam VinatieriA. Vinatieri,IND,NYG@IND,8.00,5,5,1,1,0
Matt PraterM. Prater,DEN,SEA@DEN,7.00,4,4,1,1,0
Josh ScobeeJ. Scobee,JAX,JAX@SD,7.00,1,1,2,2,0
Jason HansonJ. Hanson,DET,PHI@DET,6.00,3,3,1,1,0
David AkersD. Akers,PHI,PHI@DET,5.00,5,5,0,0,0
Billy CundiffB. Cundiff,BAL,BAL@CIN,4.00,1,1,1,1,0
Ryan LongwellR. Longwell,MIN,MIA@MIN,4.00,1,1,1,1,0
Rob BironasR. Bironas,TEN,PIT@TEN,3.00,0,0,1,1,0
Josh BrownJ. Brown,STL,STL@OAK,2.00,2,2,1,0,0
Dan CarpenterD. Carpenter,MIA,MIA@MIN,2.00,2,2,0,0,0
Phil DawsonP. Dawson,CLE,KC@CLE,2.00,2,2,1,0,0
Stephen GostkowskiS. Gostkowski,NE,NE@NYJ,2.00,2,2,1,0,0
Olindo MareO. Mare,SEA,SEA@DEN,2.00,2,2,0,0,0
Joe NedneyJ. Nedney,SF,NO@SF,2.00,2,2,0,0,0
Lawrence TynesL. Tynes,NYG,NYG@IND,2.00,2,2,0,0,0
Jay FeelyJ. Feely,ARI,ARI@ATL,1.00,1,1,1,0,0
John KasayJ. Kasay,CAR,TB@CAR,1.00,1,1,0,0,0
Rian LindellR. Lindell,BUF,BUF@GB,1.00,1,1,0,0,0
