Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Dallas ClarkD. Clark,IND,IND@HOU,25.00,0,0,0,0,0,0,0,0,0,0,11,80,1,0,0,0
Antonio GatesA. Gates,SD,SD@KC,18.00,0,0,0,0,0,0,0,0,0,0,5,76,1,0,0,0
Marcedes LewisM. Lewis,JAX,DEN@JAX,17.00,0,0,0,0,0,0,0,0,0,0,2,31,2,0,0,0
Visanthe ShiancoeV. Shiancoe,MIN,MIN@NO,17.00,0,0,0,0,0,0,0,0,0,0,4,76,1,0,0,0
Vernon DavisV. Davis,SF,SF@SEA,15.00,0,0,0,0,0,0,0,0,0,0,8,73,0,0,0,0
Chris CooleyC. Cooley,WAS,DAL@WAS,14.00,0,0,0,0,0,0,0,0,0,0,6,80,0,0,0,0
Jermaine GreshamJ. Gresham,CIN,CIN@NE,14.00,0,0,0,0,0,0,0,0,0,0,6,25,1,0,0,0
Todd HeapT. Heap,BAL,BAL@NYJ,13.00,0,0,0,0,0,0,0,0,0,0,6,72,0,0,0,0
Bo ScaifeB. Scaife,TEN,OAK@TEN,12.00,0,0,0,0,0,0,0,0,0,0,3,37,1,0,0,0
Tony MoeakiT. Moeaki,KC,SD@KC,11.00,0,0,0,0,0,0,0,0,0,0,3,21,1,0,0,0
Evan MooreE. Moore,CLE,CLE@TB,11.00,0,0,0,0,0,0,0,0,0,0,3,87,0,0,0,0
Tony SchefflerT. Scheffler,DET,DET@CHI,10.00,0,0,0,0,0,0,0,0,0,0,6,43,0,0,0,0
Jermichael FinleyJ. Finley,GB,GB@PHI,8.00,0,0,0,0,0,0,0,0,0,0,4,47,0,0,0,0
Heath MillerH. Miller,PIT,ATL@PIT,8.00,0,0,0,0,0,0,0,0,0,0,4,40,0,0,0,0
Zach MillerZ. Miller,OAK,OAK@TEN,8.00,0,0,0,0,0,0,0,0,0,0,4,43,0,0,0,0
Anthony FasanoA. Fasano,MIA,MIA@BUF,7.00,0,0,0,0,0,0,0,0,0,0,3,46,0,0,0,0
Rob GronkowskiR. Gronkowski,NE,CIN@NE,7.00,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Kellen WinslowK. Winslow,TB,CLE@TB,7.00,0,0,0,0,0,0,0,0,0,0,4,32,0,0,0,0
John CarlsonJ. Carlson,SEA,SF@SEA,6.00,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0
Greg OlsenG. Olsen,CHI,DET@CHI,6.00,0,0,0,0,0,0,0,0,0,0,4,37,0,0,1,0
Delanie WalkerD. Walker,SF,SF@SEA,6.00,0,0,0,0,0,0,1,10,0,0,3,27,0,0,0,0
Brent CelekB. Celek,PHI,GB@PHI,5.00,0,0,0,0,0,0,0,0,0,0,2,32,0,0,0,0
Daniel FellsD. Fells,STL,ARI@STL,5.00,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0
Tony GonzalezT. Gonzalez,ATL,ATL@PIT,5.00,0,0,0,0,0,0,0,0,0,0,2,35,0,0,0,0
Daniel GrahamD. Graham,DEN,DEN@JAX,5.00,0,0,0,0,0,0,0,0,0,0,2,36,0,0,0,0
Aaron HernandezA. Hernandez,NE,CIN@NE,5.00,0,0,0,0,0,0,0,0,0,0,1,45,0,0,0,0
Jeremy ShockeyJ. Shockey,NO,MIN@NO,5.00,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0
Jason WittenJ. Witten,DAL,DAL@WAS,5.00,0,0,0,0,0,0,0,0,0,0,3,27,0,0,0,0
Billy BajemaB. Bajema,STL,ARI@STL,4.00,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0
Randy McMichaelR. McMichael,SD,SD@KC,4.00,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0
Benjamin WatsonB. Watson,CLE,CLE@TB,4.00,0,0,0,0,0,0,1,-1,0,0,3,16,0,0,0,0
Travis BeckumT. Beckum,NYG,CAR@NYG,3.00,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
Dustin KellerD. Keller,NYJ,BAL@NYJ,3.00,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0
Justin PeelleJ. Peelle,ATL,ATL@PIT,3.00,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
Dante RosarioD. Rosario,CAR,CAR@NYG,3.00,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
Craig StevensC. Stevens,TEN,OAK@TEN,3.00,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0
Kevin BossK. Boss,NYG,CAR@NYG,2.00,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
Zach MillerZ. Miller,JAX,DEN@JAX,2.00,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0
Cameron MorrahC. Morrah,SEA,SF@SEA,2.00,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
David ThomasD. Thomas,NO,MIN@NO,2.00,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
Martellus BennettM. Bennett,DAL,DAL@WAS,1.00,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
Nate ByhamN. Byham,SF,SF@SEA,1.00,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
