Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Benjamin WatsonB. Watson,CLE,CLE@MIA,26.00,0,0,0,0,0,0,0,0,0,0,10,100,1,0,0,0
Vernon DavisV. Davis,SF,SF@GB,22.00,0,0,0,0,0,0,0,0,0,0,4,126,1,0,0,0
Antonio GatesA. Gates,SD,OAK@SD,19.00,0,0,0,0,0,0,0,0,0,0,6,73,1,0,0,0
Jason WittenJ. Witten,DAL,DAL@IND,15.00,0,0,0,0,0,0,0,0,0,0,5,42,1,0,0,0
Anthony FasanoA. Fasano,MIA,CLE@MIA,14.00,0,0,0,0,0,0,0,0,0,0,4,41,1,0,0,0
Aaron HernandezA. Hernandez,NE,NYJ@NE,14.00,0,0,0,0,0,0,0,0,0,0,3,51,1,0,0,0
Chris CooleyC. Cooley,WAS,WAS@NYG,11.00,0,0,0,0,0,0,0,0,0,0,6,61,0,0,1,0
Joel DreessenJ. Dreessen,HOU,HOU@PHI,11.00,0,0,0,0,0,0,0,0,0,0,5,63,0,0,0,0
Jimmy GrahamJ. Graham,NO,NO@CIN,10.00,0,0,0,0,0,0,0,0,0,0,3,72,0,0,0,0
Brandon ManumaleunaB. Manumaleuna,CHI,CHI@DET,10.00,0,0,0,0,0,0,0,0,0,0,2,23,1,0,0,0
Brent CelekB. Celek,PHI,HOU@PHI,9.00,0,0,0,0,0,0,0,0,0,0,4,55,0,0,0,0
Jermaine GreshamJ. Gresham,CIN,NO@CIN,9.00,0,0,0,0,0,0,0,0,0,0,3,43,0,1,0,0
Tony MoeakiT. Moeaki,KC,DEN@KC,9.00,0,0,0,0,0,0,0,0,0,0,4,54,0,0,0,0
Cameron MorrahC. Morrah,SEA,CAR@SEA,9.00,0,0,0,0,0,0,0,0,0,0,3,69,0,0,0,0
Jared CookJ. Cook,TEN,JAX@TEN,8.00,0,0,0,0,0,0,0,0,0,0,4,47,0,0,0,0
John GilmoreJ. Gilmore,TB,ATL@TB,8.00,0,0,0,0,0,0,0,0,0,0,2,6,1,0,0,0
Brandon PettigrewB. Pettigrew,DET,CHI@DET,8.00,0,0,0,0,0,0,0,0,0,0,5,36,0,0,0,0
Jacob TammeJ. Tamme,IND,DAL@IND,8.00,0,0,0,0,0,0,0,0,0,0,4,47,0,0,0,0
Leonard PopeL. Pope,KC,DEN@KC,7.00,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
Tony GonzalezT. Gonzalez,ATL,ATL@TB,6.00,0,0,0,0,0,0,0,0,0,0,3,38,0,0,0,0
Marcedes LewisM. Lewis,JAX,JAX@TEN,6.00,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0
Zach MillerZ. Miller,JAX,JAX@TEN,6.00,0,0,0,0,0,0,2,9,0,0,3,34,0,0,0,0
Billy BajemaB. Bajema,STL,STL@ARI,5.00,0,0,0,0,0,0,0,0,0,0,2,39,0,0,0,0
Martellus BennettM. Bennett,DAL,DAL@IND,5.00,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0
Ed DicksonE. Dickson,BAL,PIT@BAL,5.00,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0
Dustin KellerD. Keller,NYJ,NYJ@NE,5.00,0,0,0,0,0,0,0,0,0,0,3,27,0,0,0,0
Jim KleinsasserJ. Kleinsasser,MIN,BUF@MIN,5.00,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0,0
Dante RosarioD. Rosario,CAR,CAR@SEA,5.00,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0
Kellen WinslowK. Winslow,TB,ATL@TB,5.00,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0
Kevin BossK. Boss,NYG,WAS@NYG,4.00,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0
Daniel FellsD. Fells,STL,STL@ARI,4.00,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0
Jeremy ShockeyJ. Shockey,NO,NO@CIN,4.00,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0
Visanthe ShiancoeV. Shiancoe,MIN,BUF@MIN,3.00,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
Delanie WalkerD. Walker,SF,SF@GB,3.00,0,0,0,0,0,0,1,5,0,0,2,19,0,0,0,0
Fred DavisF. Davis,WAS,WAS@NYG,2.00,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0
Rob GronkowskiR. Gronkowski,NE,NYJ@NE,2.00,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
Ryan PurvisR. Purvis,TB,ATL@TB,2.00,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
Tony SchefflerT. Scheffler,DET,CHI@DET,2.00,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0
Craig StevensC. Stevens,TEN,JAX@TEN,2.00,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0
Jim DrayJ. Dray,ARI,STL@ARI,1.00,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Brody EldridgeB. Eldridge,IND,DAL@IND,1.00,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
Dan GronkowskiD. Gronkowski,DEN,DEN@KC,1.00,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Will HellerW. Heller,DET,CHI@DET,1.00,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
Jeff KingJ. King,CAR,CAR@SEA,1.00,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
David MartinD. Martin,BUF,BUF@MIN,1.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Randy McMichaelR. McMichael,SD,OAK@SD,1.00,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Heath MillerH. Miller,PIT,PIT@BAL,1.00,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Zach MillerZ. Miller,OAK,OAK@SD,1.00,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
Greg OlsenG. Olsen,CHI,CHI@DET,1.00,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
Logan PaulsenL. Paulsen,WAS,WAS@NYG,1.00,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Andrew QuarlessA. Quarless,GB,SF@GB,1.00,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
Bo ScaifeB. Scaife,TEN,JAX@TEN,1.00,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
