Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Tom BradyT. Brady,NE,NE@DET,37.00,27,21,341,4,0,0,4,1,0,0,0,0,0,0,0,0
Matt CasselM. Cassel,KC,KC@SEA,35.00,32,22,233,4,0,0,5,28,0,0,0,0,0,0,0,0
Jay CutlerJ. Cutler,CHI,PHI@CHI,34.00,21,14,247,4,0,0,7,17,0,0,0,0,0,0,0,0
Kyle OrtonK. Orton,DEN,STL@DEN,31.00,41,24,347,3,0,0,0,0,0,0,0,0,0,0,0,0
Sam BradfordS. Bradford,STL,STL@DEN,30.00,37,22,308,3,0,0,1,-1,0,0,0,0,0,0,0,0
Aaron RodgersA. Rodgers,GB,GB@ATL,29.00,35,26,344,1,0,0,12,51,1,0,0,0,0,0,1,0
Michael VickM. Vick,PHI,PHI@CHI,27.00,44,29,333,2,1,0,9,44,0,0,0,0,0,0,0,0
Chad HenneC. Henne,MIA,MIA@OAK,22.00,30,17,307,2,1,0,3,-4,0,0,0,0,0,0,0,0
Joe FlaccoJ. Flacco,BAL,TB@BAL,21.00,35,25,289,2,1,0,3,-2,0,0,0,0,0,0,0,0
Eli ManningE. Manning,NYG,JAX@NYG,21.00,24,14,226,2,0,0,3,-1,0,0,0,0,0,0,0,0
Matt SchaubM. Schaub,HOU,TEN@HOU,19.00,35,25,178,2,0,0,2,-2,0,0,0,0,0,0,0,0
Drew BreesD. Brees,NO,NO@DAL,18.00,39,23,352,1,1,0,3,-3,0,0,0,0,0,0,0,0
Matt HasselbeckM. Hasselbeck,SEA,KC@SEA,18.00,37,20,282,2,2,0,2,-2,0,0,0,0,0,0,1,0
Shaun HillS. Hill,DET,NE@DET,15.00,46,27,285,1,2,0,4,23,0,0,0,0,0,0,0,0
Peyton ManningP. Manning,IND,SD@IND,15.00,48,31,285,2,4,0,0,0,0,0,0,0,0,0,0,0
Ryan FitzpatrickR. Fitzpatrick,BUF,PIT@BUF,14.00,45,23,265,1,1,0,2,4,0,0,0,0,0,0,0,0
Josh FreemanJ. Freeman,TB,TB@BAL,14.00,37,17,162,1,0,0,6,27,0,0,0,0,0,0,0,0
David GarrardD. Garrard,JAX,JAX@NYG,13.00,35,20,162,0,1,0,6,41,1,0,0,0,0,0,1,0
Matt RyanM. Ryan,ATL,GB@ATL,13.00,28,24,197,1,0,0,0,0,0,0,0,0,0,0,0,0
Bruce GradkowskiB. Gradkowski,OAK,MIA@OAK,12.00,32,17,252,1,2,0,0,0,0,0,0,0,0,0,0,0
Jon KitnaJ. Kitna,DAL,NO@DAL,12.00,42,30,313,0,1,0,5,20,0,0,0,0,0,0,0,0
Donovan McNabbD. McNabb,WAS,MIN@WAS,12.00,35,21,211,1,1,0,2,7,0,0,0,0,0,0,0,0
Ben RoethlisbergerB. Roethlisberger,PIT,PIT@BUF,10.00,33,20,246,0,0,0,1,18,0,0,0,0,0,0,0,0
Mark SanchezM. Sanchez,NYJ,CIN@NYJ,10.00,28,16,166,1,1,0,3,-4,0,0,0,0,0,0,0,0
Troy SmithT. Smith,SF,SF@ARI,9.00,23,11,129,1,1,0,3,6,0,0,0,0,0,0,0,0
Carson PalmerC. Palmer,CIN,CIN@NYJ,7.00,38,17,135,1,2,0,2,5,0,0,0,0,0,0,0,0
Philip RiversP. Rivers,SD,SD@IND,7.00,23,19,185,0,0,0,3,7,0,0,0,0,0,0,0,0
Brett FavreB. Favre,MIN,MIN@WAS,6.00,23,15,172,0,0,0,5,9,0,0,0,0,0,0,0,0
Jimmy ClausenJ. Clausen,CAR,CAR@CLE,5.00,28,16,195,0,1,0,0,0,0,0,0,0,0,0,0,0
Jake DelhommeJ. Delhomme,CLE,CAR@CLE,5.00,35,24,245,0,2,0,2,2,0,0,0,0,0,0,0,0
Derek AndersonD. Anderson,ARI,SF@ARI,4.00,35,16,196,0,1,0,1,0,0,0,0,0,0,0,1,0
Tyler ThigpenT. Thigpen,MIA,MIA@OAK,0.00,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0
Rusty SmithR. Smith,TEN,TEN@HOU,-1.00,31,17,138,0,3,0,0,0,0,0,0,0,0,0,0,0
