Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Aaron RodgersA. Rodgers,GB,NYG@GB,42.00,37,25,404,4,0,0,2,26,0,0,0,0,0,0,0,0
Josh FreemanJ. Freeman,TB,SEA@TB,41.00,26,21,237,5,0,0,4,23,0,0,0,0,0,0,0,0
Carson PalmerC. Palmer,CIN,SD@CIN,34.00,21,16,269,4,0,0,2,-1,0,0,0,0,0,0,0,0
Matt CasselM. Cassel,KC,TEN@KC,32.00,34,24,314,3,0,0,3,20,0,0,0,0,0,0,0,0
Jay CutlerJ. Cutler,CHI,NYJ@CHI,30.00,25,13,215,3,1,0,4,3,1,0,0,0,0,0,0,0
Tom BradyT. Brady,NE,NE@BUF,24.00,27,15,140,3,0,0,3,13,0,0,0,0,0,0,0,0
Tim TebowT. Tebow,DEN,HOU@DEN,24.00,29,16,308,1,1,0,10,27,1,0,0,0,0,0,0,0
Michael VickM. Vick,PHI,MIN@PHI,24.00,43,25,263,1,1,0,8,63,1,0,0,0,0,0,2,0
Peyton ManningP. Manning,IND,IND@OAK,23.00,30,16,179,3,2,0,3,25,0,0,0,0,0,0,0,0
David GarrardD. Garrard,JAX,WAS@JAX,22.00,38,22,299,1,2,0,6,39,1,0,0,0,0,0,0,0
Ben RoethlisbergerB. Roethlisberger,PIT,CAR@PIT,22.00,32,22,320,1,0,0,7,2,1,0,0,0,0,0,2,0
Shaun HillS. Hill,DET,DET@MIA,21.00,26,14,222,2,0,0,1,10,0,0,0,0,0,0,0,0
Kerry CollinsK. Collins,TEN,TEN@KC,17.00,37,14,235,2,2,0,2,-1,0,0,0,0,0,0,0,0
Eli ManningE. Manning,NYG,NYG@GB,17.00,33,17,301,2,4,0,1,12,0,0,0,0,0,0,0,0
Sam BradfordS. Bradford,STL,SF@STL,16.00,37,28,292,1,0,0,0,0,0,0,0,0,0,0,1,0
Jason CampbellJ. Campbell,OAK,IND@OAK,16.00,42,29,231,1,0,0,3,10,0,0,0,0,0,0,0,0
Matt SchaubM. Schaub,HOU,HOU@DEN,16.00,33,23,310,1,1,0,1,0,0,0,0,0,0,0,0,0
Joe WebbJ. Webb,MIN,MIN@PHI,16.00,26,17,195,0,0,0,6,31,1,0,0,0,0,0,0,0
Joe FlaccoJ. Flacco,BAL,BAL@CLE,15.00,19,12,102,2,1,0,3,16,0,0,0,0,0,0,0,0
John SkeltonJ. Skelton,ARI,DAL@ARI,15.00,25,11,183,1,0,0,3,21,0,0,0,0,0,0,0,0
Drew BreesD. Brees,NO,NO@ATL,14.00,49,35,302,1,2,0,2,-2,0,0,0,0,0,0,0,0
Chad HenneC. Henne,MIA,DET@MIA,14.00,44,29,278,1,2,0,5,14,0,0,0,0,0,0,0,0
Philip RiversP. Rivers,SD,SD@CIN,14.00,40,27,256,1,1,0,1,2,0,0,0,0,0,0,0,0
Mark SanchezM. Sanchez,NYJ,NYJ@CHI,14.00,37,24,269,1,1,0,0,0,0,0,0,0,0,0,0,0
Matt RyanM. Ryan,ATL,NO@ATL,13.00,29,15,148,1,0,0,4,26,0,0,0,0,0,0,0,0
Troy SmithT. Smith,SF,SF@STL,12.00,19,7,153,1,1,0,5,28,0,0,0,0,0,0,0,0
Rex GrossmanR. Grossman,WAS,WAS@JAX,11.00,39,19,182,1,1,0,1,5,0,0,0,0,0,0,0,0
Stephen McGeeS. McGee,DAL,DAL@ARI,11.00,17,11,111,1,0,0,4,19,0,0,0,0,0,0,0,0
Matt HasselbeckM. Hasselbeck,SEA,SEA@TB,6.00,4,3,24,0,0,0,1,1,1,0,0,0,0,0,0,0
Jon KitnaJ. Kitna,DAL,DAL@ARI,6.00,20,12,115,1,2,0,1,7,0,0,0,0,0,0,0,0
Charlie WhitehurstC. Whitehurst,SEA,SEA@TB,4.00,18,11,66,0,0,1,3,5,0,0,0,0,0,0,0,0
Ryan FitzpatrickR. Fitzpatrick,BUF,NE@BUF,3.00,37,18,251,0,3,0,1,14,0,0,0,0,0,0,2,0
Alex SmithA. Smith,SF,SF@STL,3.00,15,10,120,0,0,0,0,0,0,0,0,0,0,0,1,0
Colt McCoyC. McCoy,CLE,BAL@CLE,2.00,29,15,149,0,3,0,4,30,0,0,0,0,0,0,0,0
Jimmy ClausenJ. Clausen,CAR,CAR@PIT,0.00,23,10,72,0,1,0,0,0,0,0,0,0,0,0,0,0
Brian HoyerB. Hoyer,NE,NE@BUF,0.00,0,0,0,0,0,0,4,-2,0,0,0,0,0,0,0,0
Josh JohnsonJ. Johnson,TB,SEA@TB,0.00,2,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Brodie CroyleB. Croyle,KC,TEN@KC,-2.00,2,1,-2,0,1,0,0,0,0,0,0,0,0,0,0,0
