Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Arian FosterA. Foster,HOU,KC@HOU,27.00,0,0,0,0,0,0,18,71,2,0,6,26,0,0,0,0
Ryan TorainR. Torain,WAS,IND@WAS,23.00,0,0,0,0,0,0,20,100,2,0,1,9,0,0,0,0
Chris JohnsonC. Johnson,TEN,TEN@JAX,21.00,0,0,0,0,0,0,26,111,1,0,2,20,0,0,0,0
LaDainian TomlinsonL. Tomlinson,NYJ,NYJ@DEN,20.00,0,0,0,0,0,0,16,55,2,0,2,12,0,0,0,0
Felix JonesF. Jones,DAL,DAL@MIN,19.00,0,0,0,0,0,0,14,32,0,0,10,61,0,0,0,0
Ray RiceR. Rice,BAL,BAL@NE,19.00,0,0,0,0,0,0,28,88,0,0,8,38,0,0,0,0
Thomas JonesT. Jones,KC,KC@HOU,18.00,0,0,0,0,0,0,19,100,1,0,1,10,0,0,0,0
Rashard MendenhallR. Mendenhall,PIT,CLE@PIT,18.00,0,0,0,0,0,0,27,84,1,0,3,15,0,0,0,0
Joseph AddaiJ. Addai,IND,IND@WAS,17.00,0,0,0,0,0,0,17,128,1,0,0,0,0,0,1,0
Chris IvoryC. Ivory,NO,NO@TB,17.00,0,0,0,0,0,0,15,158,0,0,1,17,0,0,0,0
Steven JacksonS. Jackson,STL,SD@STL,17.00,0,0,0,0,0,0,29,109,1,0,1,2,0,0,0,0
Ahmad BradshawA. Bradshaw,NYG,DET@NYG,16.00,0,0,0,0,0,0,19,133,0,0,2,10,0,0,0,0
Danny WoodheadD. Woodhead,NE,BAL@NE,16.00,0,0,0,0,0,0,11,63,0,0,5,52,0,0,0,0
Jamaal CharlesJ. Charles,KC,KC@HOU,15.00,0,0,0,0,0,0,16,93,0,0,4,24,0,0,0,0
Brandon JacobsB. Jacobs,NYG,DET@NYG,15.00,0,0,0,0,0,0,9,35,2,0,0,0,0,0,0,0
Matt ForteM. Forte,CHI,SEA@CHI,14.00,0,0,0,0,0,0,8,11,1,0,3,40,0,0,0,0
Frank GoreF. Gore,SF,OAK@SF,14.00,0,0,0,0,0,0,25,149,0,0,0,0,0,0,0,0
Peyton HillisP. Hillis,CLE,CLE@PIT,14.00,0,0,0,0,0,0,12,41,0,0,6,49,0,0,0,0
Adrian PetersonA. Peterson,MIN,DAL@MIN,14.00,0,0,0,0,0,0,24,73,1,0,1,-2,0,0,0,0
Justin ForsettJ. Forsett,SEA,SEA@CHI,13.00,0,0,0,0,0,0,10,67,1,0,1,9,0,0,0,0
Marshawn LynchM. Lynch,SEA,SEA@CHI,13.00,0,0,0,0,0,0,17,44,1,0,3,9,0,0,0,0
Derrick WardD. Ward,KC,KC@HOU,13.00,0,0,0,0,0,0,3,58,1,0,1,12,0,0,0,0
Carnell WilliamsC. Williams,TB,NO@TB,13.00,0,0,0,0,0,0,10,18,0,0,7,63,0,0,1,0
LeSean McCoyL. McCoy,PHI,ATL@PHI,12.00,0,0,0,0,0,0,21,64,0,0,4,21,0,0,0,0
Keiland WilliamsK. Williams,WAS,IND@WAS,12.00,0,0,0,0,0,0,2,12,0,0,4,19,1,0,0,0
Jahvid BestJ. Best,DET,DET@NYG,10.00,0,0,0,0,0,0,12,16,0,0,6,31,0,0,0,0
Brandon JacksonB. Jackson,GB,MIA@GB,10.00,0,0,0,0,0,0,12,53,0,0,3,29,0,0,0,0
Ryan MathewsR. Mathews,SD,SD@STL,10.00,0,0,0,0,0,0,12,64,0,0,3,12,0,0,0,0
Ladell BettsL. Betts,NO,NO@TB,9.00,0,0,0,0,0,0,6,20,1,0,1,6,0,0,0,0
Darren SprolesD. Sproles,SD,SD@STL,9.00,0,0,0,0,0,0,1,9,0,0,5,48,0,0,0,0
Ronnie BrownR. Brown,MIA,MIA@GB,8.00,0,0,0,0,0,0,19,73,0,0,1,2,0,0,0,0
BenJarvus Green-EllisB. Green-Ellis,NE,BAL@NE,8.00,0,0,0,0,0,0,10,20,1,0,0,0,0,0,0,0
Marion BarberM. Barber,DAL,DAL@MIN,7.00,0,0,0,0,0,0,10,31,0,0,3,15,0,0,0,0
Michael BushM. Bush,OAK,OAK@SF,7.00,0,0,0,0,0,0,20,47,0,0,2,12,0,0,0,0
Heath EvansH. Evans,NO,NO@TB,7.00,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0
Maurice Jones-DrewM. Jones-Drew,JAX,TEN@JAX,7.00,0,0,0,0,0,0,17,57,0,0,2,8,0,0,0,0
Ricky WilliamsR. Williams,MIA,MIA@GB,7.00,0,0,0,0,0,0,13,64,0,0,1,-1,0,0,0,0
Mike TolbertM. Tolbert,SD,SD@STL,6.00,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0
Javon RingerJ. Ringer,TEN,TEN@JAX,5.00,0,0,0,0,0,0,10,42,0,0,1,8,0,0,0,0
Michael TurnerM. Turner,ATL,ATL@PHI,5.00,0,0,0,0,0,0,15,45,0,0,1,4,0,0,0,0
Eldra BuckleyE. Buckley,PHI,ATL@PHI,4.00,0,0,0,0,0,0,12,40,0,0,0,0,0,0,0,0
Shonn GreeneS. Greene,NYJ,NYJ@DEN,4.00,0,0,0,0,0,0,9,43,0,0,0,0,0,0,0,0
Mike HartM. Hart,IND,IND@WAS,4.00,0,0,0,0,0,0,11,43,0,0,0,0,0,0,0,0
Julius JonesJ. Jones,NO,NO@TB,4.00,0,0,0,0,0,0,9,32,0,0,1,6,0,0,0,0
Jason SnellingJ. Snelling,ATL,ATL@PHI,4.00,0,0,0,0,0,0,3,17,0,0,2,10,0,0,0,0
Chester TaylorC. Taylor,CHI,SEA@CHI,4.00,0,0,0,0,0,0,4,31,0,0,1,4,0,0,0,0
Chris GronkowskiC. Gronkowski,DAL,DAL@MIN,3.00,0,0,0,0,0,0,1,0,0,0,2,10,0,0,0,0
Knowshon MorenoK. Moreno,DEN,NYJ@DEN,3.00,0,0,0,0,0,0,12,48,0,0,0,0,0,0,1,0
Bear PascoeB. Pascoe,NYG,DET@NYG,3.00,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0
Isaac RedmanI. Redman,PIT,CLE@PIT,3.00,0,0,0,0,0,0,6,31,0,0,0,0,0,0,0,0
Mike SellersM. Sellers,WAS,IND@WAS,3.00,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
Correll BuckhalterC. Buckhalter,DEN,NYJ@DEN,2.00,0,0,0,0,0,0,6,20,0,0,0,0,0,0,0,0
Deji KarimD. Karim,JAX,TEN@JAX,2.00,0,0,0,0,0,0,3,3,0,0,2,9,0,0,0,0
Brian WestbrookB. Westbrook,SF,OAK@SF,2.00,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0
Mike CoxM. Cox,KC,KC@HOU,1.00,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
Jacob HesterJ. Hester,SD,SD@STL,1.00,0,0,0,0,0,0,1,3,0,0,1,6,0,0,0,0
Kareem HugginsK. Huggins,TB,NO@TB,1.00,0,0,0,0,0,0,3,7,0,0,1,7,0,0,0,0
Mike KarneyM. Karney,STL,SD@STL,1.00,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
Laurence MaroneyL. Maroney,DEN,NYJ@DEN,1.00,0,0,0,0,0,0,7,18,0,0,0,0,0,0,0,0
Le'Ron McClainL. McClain,BAL,BAL@NE,1.00,0,0,0,0,0,0,3,7,0,0,1,4,0,0,0,0
