Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Darren McFaddenD. McFadden,OAK,OAK@JAX,41.00,0,0,0,0,0,0,16,123,2,0,3,86,1,0,0,0
Andre JohnsonA. Johnson,HOU,BAL@HOU,35.00,0,0,0,0,0,0,0,0,0,0,9,140,2,0,0,0
DeSean JacksonD. Jackson,PHI,PHI@DAL,31.00,0,0,0,0,0,0,2,6,0,0,4,210,1,0,0,0
Chris JohnsonC. Johnson,TEN,IND@TEN,31.00,0,0,0,0,0,0,22,111,1,0,8,68,0,0,0,0
Matt SchaubM. Schaub,HOU,BAL@HOU,31.00,62,31,393,3,2,1,1,8,0,0,0,0,0,0,0,0
Michael TurnerM. Turner,ATL,ATL@CAR,31.00,0,0,0,0,0,0,28,112,3,0,1,12,0,0,0,0
Deion BranchD. Branch,NE,NE@CHI,29.00,0,0,0,0,0,0,0,0,0,0,8,151,1,0,0,0
Alex SmithA. Smith,SF,SEA@SF,29.00,27,17,255,3,0,0,4,12,0,0,0,0,0,0,0,0
Kerry CollinsK. Collins,TEN,IND@TEN,27.00,39,28,244,3,0,0,0,0,0,0,0,0,0,0,0,0
Pierre GarconP. Garcon,IND,IND@TEN,27.00,0,0,0,0,0,0,0,0,0,0,6,93,2,0,0,0
Tom BradyT. Brady,NE,NE@CHI,26.00,40,27,369,2,0,0,0,0,0,0,0,0,0,0,0,0
David GarrardD. Garrard,JAX,OAK@JAX,25.00,22,11,159,3,1,0,5,32,0,0,0,0,0,0,0,0
Tim HightowerT. Hightower,ARI,DEN@ARI,25.00,0,0,0,0,0,0,18,148,2,0,0,0,0,0,1,0
Derrick MasonD. Mason,BAL,BAL@HOU,25.00,0,0,0,0,0,0,0,0,0,0,6,78,2,0,0,0
Michael VickM. Vick,PHI,PHI@DAL,25.00,26,16,270,2,2,0,8,16,1,0,0,0,0,0,0,0
Jason WittenJ. Witten,DAL,PHI@DAL,25.00,0,0,0,0,0,0,0,0,0,0,7,69,2,0,0,0
