Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Mason CrosbyM. Crosby,GB,GB@PHI,11.00,3,3,2,2,1
Jeff ReedJ. Reed,ATL,ATL@PIT,11.00,0,0,5,3,1
Neil RackersN. Rackers,HOU,IND@HOU,10.00,4,4,2,2,0
Matt BryantM. Bryant,ATL,ATL@PIT,9.00,0,0,4,3,0
Nick FolkN. Folk,NYJ,BAL@NYJ,9.00,0,0,3,3,0
David AkersD. Akers,PHI,GB@PHI,8.00,2,2,2,2,0
Rob BironasR. Bironas,TEN,OAK@TEN,8.00,5,5,1,1,0
Stephen GostkowskiS. Gostkowski,NE,CIN@NE,8.00,5,5,3,1,0
Mike NugentM. Nugent,CIN,CIN@NE,8.00,3,3,1,1,1
Josh BrownJ. Brown,STL,ARI@STL,7.00,1,1,3,2,0
Dan CarpenterD. Carpenter,MIA,MIA@BUF,7.00,1,1,3,2,0
Graham GanoG. Gano,WAS,DAL@WAS,7.00,1,1,2,2,0
Robbie GouldR. Gould,CHI,DET@CHI,7.00,1,1,2,2,0
Sebastian JanikowskiS. Janikowski,OAK,OAK@TEN,7.00,1,1,3,2,0
Olindo MareO. Mare,SEA,SF@SEA,7.00,4,4,1,1,0
Matt PraterM. Prater,DEN,DEN@JAX,7.00,2,2,1,1,1
Lawrence TynesL. Tynes,NYG,CAR@NYG,7.00,4,4,1,1,0
Rian LindellR. Lindell,BUF,MIA@BUF,6.00,1,1,2,1,1
Joe NedneyJ. Nedney,SF,SF@SEA,6.00,0,0,2,2,0
Josh ScobeeJ. Scobee,JAX,DEN@JAX,6.00,3,3,1,1,0
Adam VinatieriA. Vinatieri,IND,IND@HOU,6.00,3,3,1,1,0
Connor BarthC. Barth,TB,CLE@TB,5.00,2,2,1,1,0
Jay FeelyJ. Feely,ARI,ARI@STL,5.00,2,2,1,1,0
Billy CundiffB. Cundiff,BAL,BAL@NYJ,4.00,1,1,1,1,0
Ryan LongwellR. Longwell,MIN,MIN@NO,3.00,1,0,1,1,0
Ryan SuccopR. Succop,KC,SD@KC,3.00,3,3,0,0,0
Phil DawsonP. Dawson,CLE,CLE@TB,2.00,2,2,1,0,0
Jason HansonJ. Hanson,DET,DET@CHI,2.00,2,2,0,0,0
Garrett HartleyG. Hartley,NO,MIN@NO,2.00,2,2,2,0,0
Nate KaedingN. Kaeding,SD,SD@KC,2.00,2,2,0,0,0
David BuehlerD. Buehler,DAL,DAL@WAS,1.00,1,1,1,0,0
