Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Miami DolphinsMIA,MIA,MIA@MIN,24.00,3.0,3,0,1,0,1,10,208,156,364
San Diego ChargersSD,SD,JAX@SD,21.00,2.0,4,0,2,0,0,13,279,71,350
Indianapolis ColtsIND,IND,NYG@IND,20.00,4.0,1,0,2,0,1,14,137,120,257
Tampa Bay BuccaneersTB,TB,TB@CAR,17.00,4.0,2,0,1,0,0,7,159,119,278
Cincinnati BengalsCIN,CIN,BAL@CIN,16.00,1.0,4,0,0,0,0,10,150,109,259
Atlanta FalconsATL,ATL,ARI@ATL,15.00,2.0,3,0,0,0,0,7,149,118,267
Kansas City ChiefsKC,KC,KC@CLE,15.00,1.0,1,0,1,0,1,14,226,73,299
Green Bay PackersGB,GB,BUF@GB,15.00,4.0,2,0,0,0,0,7,62,124,186
Denver BroncosDEN,DEN,SEA@DEN,13.00,1.0,3,0,1,0,0,14,230,109,339
New Orleans SaintsNO,NO,NO@SF,11.00,0.0,2,1,2,0,0,22,275,142,417
New York JetsNYJ,NYJ,NE@NYJ,11.00,1.0,2,0,1,0,0,14,239,52,291
Chicago BearsCHI,CHI,CHI@DAL,10.00,0.0,2,0,1,0,0,20,374,36,410
Minnesota VikingsMIN,MIN,MIA@MIN,10.00,2.0,0,0,2,0,0,14,106,120,226
Tennessee TitansTEN,TEN,PIT@TEN,10.00,4.0,0,0,1,0,0,19,21,106,127
St. Louis RamsSTL,STL,STL@OAK,10.00,2.0,2,0,0,0,0,16,231,173,404
Cleveland BrownsCLE,CLE,KC@CLE,9.00,1.0,2,0,0,0,0,16,172,140,312
Jacksonville JaguarsJAX,JAX,JAX@SD,9.00,1.0,2,0,1,1,0,38,326,151,477
Oakland RaidersOAK,OAK,STL@OAK,9.00,3.0,1,0,0,0,0,14,135,75,210
Dallas CowboysDAL,DAL,CHI@DAL,8.00,1.0,0,0,0,0,1,27,270,38,308
Washington RedskinsWAS,WAS,HOU@WAS,7.00,5.0,1,0,0,0,0,30,468,58,526
Houston TexansHOU,HOU,HOU@WAS,6.00,3.0,0,0,0,1,0,27,403,18,421
Philadelphia EaglesPHI,PHI,PHI@DET,6.00,2.0,2,0,0,0,0,32,329,115,444
Detroit LionsDET,DET,PHI@DET,5.00,5.0,0,0,0,0,0,35,248,162,410
Baltimore RavensBAL,BAL,BAL@CIN,5.00,1.0,0,0,0,0,0,15,159,94,253
Carolina PanthersCAR,CAR,TB@CAR,4.00,0.0,0,0,0,0,0,20,178,95,273
San Francisco 49ersSF,SF,NO@SF,3.00,2.0,0,0,0,0,0,25,237,50,287
New York GiantsNYG,NYG,NYG@IND,3.00,1.0,0,0,1,0,0,38,250,160,410
Arizona CardinalsARI,ARI,ARI@ATL,3.00,1.0,0,0,1,0,0,41,223,221,444
New England PatriotsNE,NE,NE@NYJ,3.00,3.0,0,0,0,0,0,28,200,136,336
Seattle SeahawksSEA,SEA,SEA@DEN,1.00,1.0,0,0,0,0,0,31,304,65,369
Buffalo BillsBUF,BUF,BUF@GB,0.00,0.0,0,0,0,0,0,34,255,91,346
