Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Sebastian JanikowskiS. Janikowski,OAK,SEA@OAK,15.00,3,3,5,4,0
Adam VinatieriA. Vinatieri,IND,HOU@IND,12.00,3,3,3,3,0
Kris BrownK. Brown,TEN,TEN@SD,9.00,3,3,2,2,0
Mason CrosbyM. Crosby,GB,GB@NYJ,9.00,0,0,4,3,0
Connor BarthC. Barth,TB,TB@ARI,8.00,5,5,2,1,0
Josh BrownJ. Brown,STL,CAR@STL,8.00,2,2,3,2,0
Garrett HartleyG. Hartley,NO,PIT@NO,8.00,2,2,2,2,0
Graham GanoG. Gano,WAS,WAS@DET,7.00,1,1,2,2,0
Neil RackersN. Rackers,HOU,HOU@IND,7.00,2,2,1,1,1
Ryan SuccopR. Succop,KC,BUF@KC,7.00,1,1,3,2,0
Joe NedneyJ. Nedney,SF,DEN@SF,6.00,3,3,2,1,0
Rob BironasR. Bironas,TEN,TEN@SD,5.00,2,2,1,1,0
David BuehlerD. Buehler,DAL,JAX@DAL,5.00,2,2,1,1,0
Jay FeelyJ. Feely,ARI,TB@ARI,5.00,5,5,0,0,0
Jason HansonJ. Hanson,DET,WAS@DET,5.00,2,2,1,1,0
Josh ScobeeJ. Scobee,JAX,JAX@DAL,5.00,5,5,0,0,0
Stephen GostkowskiS. Gostkowski,NE,MIN@NE,4.00,4,4,0,0,0
John KasayJ. Kasay,CAR,CAR@STL,4.00,1,1,1,1,0
Rian LindellR. Lindell,BUF,BUF@KC,4.00,1,1,2,1,0
Ryan LongwellR. Longwell,MIN,MIN@NE,4.00,1,1,1,1,0
Matt PraterM. Prater,DEN,DEN@SF,4.00,2,1,1,1,0
Jeff ReedJ. Reed,PIT,PIT@NO,4.00,1,1,2,1,0
Olindo MareO. Mare,SEA,SEA@OAK,3.00,0,0,3,1,0
Mike NugentM. Nugent,CIN,MIA@CIN,2.00,2,2,0,0,0
Nick FolkN. Folk,NYJ,GB@NYJ,0.00,0,0,1,0,0
