Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Jeremy MaclinJ. Maclin,PHI,ATL@PHI,34.00,0,0,0,0,0,0,0,0,0,0,7,159,2,0,0,0
Kevin KolbK. Kolb,PHI,ATL@PHI,29.00,29,23,326,3,1,0,2,1,0,0,0,0,0,0,0,0
Dwayne BoweD. Bowe,KC,KC@HOU,28.00,0,0,0,0,0,0,0,0,0,0,6,108,2,0,0,0
Arian FosterA. Foster,HOU,KC@HOU,27.00,0,0,0,0,0,0,18,71,2,0,6,26,0,0,0,0
Andre JohnsonA. Johnson,HOU,KC@HOU,27.00,0,0,0,0,0,0,0,0,0,0,8,138,1,0,0,0
Drew BreesD. Brees,NO,NO@TB,26.00,32,21,263,3,1,0,2,2,0,0,0,0,0,0,0,0
Matt CasselM. Cassel,KC,KC@HOU,26.00,29,20,201,3,0,0,1,8,0,0,0,0,0,0,0,0
Ben RoethlisbergerB. Roethlisberger,PIT,CLE@PIT,26.00,27,16,257,3,1,0,1,5,0,0,0,0,0,0,0,0
Tony RomoT. Romo,DAL,DAL@MIN,26.00,32,24,220,3,2,0,3,31,0,0,0,11,0,0,0,0
Greg JenningsG. Jennings,GB,MIA@GB,25.00,0,0,0,0,0,0,0,0,0,0,6,133,1,0,0,0
Calvin JohnsonC. Johnson,DET,DET@NYG,25.00,0,0,0,0,0,0,0,0,0,0,5,146,1,0,0,0
Deion BranchD. Branch,NE,BAL@NE,24.00,0,0,0,0,0,0,0,0,0,0,9,98,1,0,0,0
Matt SchaubM. Schaub,HOU,KC@HOU,24.00,33,25,305,2,0,0,1,3,0,0,0,0,0,0,0,0
Joe FlaccoJ. Flacco,BAL,BAL@NE,23.00,35,27,285,2,0,0,2,5,0,0,0,0,0,0,0,0
Peyton ManningP. Manning,IND,IND@WAS,23.00,38,25,307,2,0,0,1,-1,0,0,0,0,0,0,1,0
Aaron RodgersA. Rodgers,GB,MIA@GB,23.00,33,18,313,1,1,0,4,14,1,0,0,0,0,0,0,0
Ryan TorainR. Torain,WAS,IND@WAS,23.00,0,0,0,0,0,0,20,100,2,0,1,9,0,0,0,0
Brandon MarshallB. Marshall,MIA,MIA@GB,22.00,0,0,0,0,0,0,0,0,0,0,10,127,0,0,0,0
Mike WilliamsM. Williams,SEA,SEA@CHI,22.00,0,0,0,0,0,0,0,0,0,0,10,123,0,0,0,0
Chris JohnsonC. Johnson,TEN,TEN@JAX,21.00,0,0,0,0,0,0,26,111,1,0,2,20,0,0,0,0
Pierre GarconP. Garcon,IND,IND@WAS,20.00,0,0,0,0,0,0,0,0,0,0,4,103,1,0,0,0
