Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Tim TebowT. Tebow,DEN,SD@DEN,31.00,36,16,205,2,2,0,13,94,1,0,0,0,0,0,0,0
Ben RoethlisbergerB. Roethlisberger,PIT,PIT@CLE,25.00,22,15,280,2,0,0,4,24,0,0,0,0,0,0,0,0
Kerry CollinsK. Collins,TEN,TEN@IND,23.00,39,28,300,2,0,0,2,2,0,0,0,0,0,0,1,0
Alex SmithA. Smith,SF,ARI@SF,23.00,29,15,276,2,0,0,1,-1,0,0,0,0,0,0,0,0
Josh FreemanJ. Freeman,TB,TB@NO,22.00,26,21,255,2,0,0,4,11,0,0,0,0,0,0,1,0
Peyton ManningP. Manning,IND,TEN@IND,22.00,41,27,264,2,0,0,0,0,0,0,0,0,0,0,0,0
Rex GrossmanR. Grossman,WAS,NYG@WAS,21.00,44,26,336,2,1,0,1,2,0,0,0,0,0,0,2,0
Matt RyanM. Ryan,ATL,CAR@ATL,21.00,32,22,236,2,0,0,2,7,0,0,0,0,0,0,0,0
Tom BradyT. Brady,NE,MIA@NE,19.00,16,10,199,2,0,0,0,0,0,0,0,0,0,0,0,0
Stephen McGeeS. McGee,DAL,DAL@PHI,16.00,27,11,127,1,0,0,9,55,0,0,0,0,0,0,0,0
Matt SchaubM. Schaub,HOU,JAX@HOU,16.00,22,18,253,1,0,0,2,1,0,0,0,0,0,0,0,0
Charlie WhitehurstC. Whitehurst,SEA,STL@SEA,16.00,36,22,192,1,0,0,8,30,0,0,0,0,0,0,0,0
Jason CampbellJ. Campbell,OAK,OAK@KC,15.00,25,15,155,1,0,0,4,33,0,0,0,0,0,0,0,0
Shaun HillS. Hill,DET,MIN@DET,15.00,39,28,258,1,1,0,2,11,0,0,0,0,0,0,0,0
Aaron RodgersA. Rodgers,GB,CHI@GB,15.00,28,19,229,1,1,0,7,21,0,0,0,0,0,0,0,0
Mark BrunellM. Brunell,NYJ,BUF@NYJ,14.00,12,6,110,2,1,0,0,0,0,0,0,0,0,0,0,0
Eli ManningE. Manning,NYG,NYG@WAS,14.00,29,17,243,1,1,0,4,11,0,0,0,0,0,0,0,0
Tyler ThigpenT. Thigpen,MIA,MIA@NE,14.00,21,10,169,1,0,0,3,21,0,0,0,0,0,0,0,0
Carson PalmerC. Palmer,CIN,CIN@BAL,13.00,45,32,305,1,2,0,2,3,0,0,0,0,0,0,1,0
Jimmy ClausenJ. Clausen,CAR,CAR@ATL,11.00,33,19,182,1,1,0,0,0,0,0,0,0,0,0,0,0
Drew BreesD. Brees,NO,TB@NO,10.00,38,22,196,1,1,0,0,0,0,0,0,0,0,0,1,0
Trent EdwardsT. Edwards,JAX,JAX@HOU,10.00,25,12,140,1,1,0,4,18,0,0,0,0,0,0,0,0
Brian HoyerB. Hoyer,NE,MIA@NE,10.00,13,7,122,1,0,0,1,-1,0,0,0,0,0,0,0,0
Philip RiversP. Rivers,SD,SD@DEN,10.00,37,21,313,0,1,0,1,1,0,0,0,0,0,0,0,0
Colt McCoyC. McCoy,CLE,PIT@CLE,9.00,41,20,209,1,3,0,4,19,0,0,0,0,0,0,0,0
John SkeltonJ. Skelton,ARI,ARI@SF,7.00,25,14,92,1,1,0,2,9,0,0,0,0,0,0,0,0
Kellen ClemensK. Clemens,NYJ,BUF@NYJ,6.00,2,1,6,0,0,0,2,9,1,0,0,0,0,0,0,0
Joe WebbJ. Webb,MIN,MIN@DET,6.00,32,20,145,0,1,0,5,35,0,0,0,0,0,0,0,0
Kevin KolbK. Kolb,PHI,DAL@PHI,5.00,36,18,162,1,3,0,4,9,0,0,0,0,0,0,1,0
Richard BartelR. Bartel,ARI,ARI@SF,4.00,28,16,150,0,1,0,0,0,0,0,0,0,0,0,0,0
Sam BradfordS. Bradford,STL,STL@SEA,4.00,36,19,155,0,1,0,0,0,0,0,0,0,0,0,0,0
Joe FlaccoJ. Flacco,BAL,CIN@BAL,3.00,19,14,125,0,1,0,3,1,0,0,0,0,0,0,0,0
Jay CutlerJ. Cutler,CHI,CHI@GB,2.00,39,21,168,0,2,0,2,8,0,0,0,0,0,0,0,0
Byron LeftwichB. Leftwich,PIT,PIT@CLE,1.00,7,5,42,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler PalkoT. Palko,KC,OAK@KC,1.00,3,2,27,0,0,0,1,6,0,0,0,0,0,0,0,0
Kyle BollerK. Boller,OAK,OAK@KC,0.00,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt CasselM. Cassel,KC,OAK@KC,0.00,33,11,115,0,2,0,0,0,0,0,0,0,0,0,0,0
Chase DanielC. Daniel,NO,TB@NO,0.00,3,2,16,0,0,0,1,0,0,0,0,0,0,0,0,0
Chad HenneC. Henne,MIA,MIA@NE,0.00,16,6,71,0,1,0,0,0,0,0,0,0,0,0,0,0
Chris RedmanC. Redman,ATL,CAR@ATL,0.00,6,4,20,0,0,0,1,-1,0,0,0,0,0,0,0,0
Seneca WallaceS. Wallace,CLE,PIT@CLE,0.00,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Levi BrownL. Brown,BUF,BUF@NYJ,-2.00,3,2,24,0,1,0,0,0,0,0,0,0,0,0,0,0
Brian BrohmB. Brohm,BUF,BUF@NYJ,-3.00,23,10,106,0,3,0,0,0,0,0,0,0,0,0,1,0
