Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Washington RedskinsWAS,WAS,WAS@CHI,26.00,4.0,4,0,2,0,1,14,256,66,322
Oakland RaidersOAK,OAK,OAK@DEN,20.00,4.0,1,0,2,0,1,14,165,75,240
Seattle SeahawksSEA,SEA,ARI@SEA,19.00,2.0,1,0,4,0,0,10,114,113,227
Tennessee TitansTEN,TEN,PHI@TEN,19.00,1.0,2,0,2,0,1,19,227,99,326
Chicago BearsCHI,CHI,WAS@CHI,18.00,2.0,2,0,1,0,1,17,187,121,308
Kansas City ChiefsKC,KC,JAX@KC,17.00,1.0,2,0,1,0,1,20,216,84,300
Dallas CowboysDAL,DAL,NYG@DAL,17.00,1.0,3,0,2,0,1,41,297,200,497
San Francisco 49ersSF,SF,SF@CAR,14.00,1.0,1,0,2,0,1,23,303,76,379
New England PatriotsNE,NE,NE@SD,14.00,2.0,1,0,3,0,0,20,325,38,363
Green Bay PackersGB,GB,MIN@GB,14.00,1.0,3,0,0,0,1,24,206,196,402
Cincinnati BengalsCIN,CIN,CIN@ATL,10.00,0.0,1,0,1,0,1,39,299,153,452
Baltimore RavensBAL,BAL,BUF@BAL,9.00,1.0,2,0,2,0,0,34,382,132,514
Philadelphia EaglesPHI,PHI,PHI@TEN,9.00,3.0,2,0,1,0,0,37,253,75,328
Carolina PanthersCAR,CAR,SF@CAR,8.00,2.0,1,0,0,0,0,20,183,99,282
Miami DolphinsMIA,MIA,PIT@MIA,8.00,3.0,0,0,2,0,0,23,290,58,348
Arizona CardinalsARI,ARI,ARI@SEA,8.00,5.0,0,0,1,0,0,22,158,144,302
Tampa Bay BuccaneersTB,TB,STL@TB,7.00,1.0,0,0,1,0,0,17,124,161,285
St. Louis RamsSTL,STL,STL@TB,7.00,3.0,0,0,0,0,0,18,189,124,313
New York GiantsNYG,NYG,NYG@DAL,7.00,3.0,0,0,2,0,0,35,213,41,254
Buffalo BillsBUF,BUF,BUF@BAL,6.00,2.0,0,0,2,0,0,37,229,135,364
Pittsburgh SteelersPIT,PIT,PIT@MIA,6.00,1.0,1,0,1,0,0,22,249,64,313
Atlanta FalconsATL,ATL,CIN@ATL,5.00,3.0,0,0,1,0,0,32,385,84,469
San Diego ChargersSD,SD,NE@SD,5.00,4.0,0,0,0,0,0,23,128,51,179
Minnesota VikingsMIN,MIN,MIN@GB,4.00,0.0,2,0,0,0,0,28,295,84,379
Denver BroncosDEN,DEN,OAK@DEN,2.00,2.0,0,0,0,0,0,59,180,328,508
New Orleans SaintsNO,NO,CLE@NO,1.00,1.0,0,0,0,0,0,30,85,125,210
Jacksonville JaguarsJAX,JAX,JAX@KC,1.00,1.0,0,0,0,0,0,42,190,236,426
