Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Michael VickM. Vick,PHI,PHI@WAS,57.00,28,20,333,4,0,0,8,80,2,0,0,0,0,0,0,0
Dwayne BoweD. Bowe,KC,KC@DEN,43.00,0,0,0,0,0,0,0,0,0,0,13,186,2,0,0,0
Matt CasselM. Cassel,KC,KC@DEN,41.00,53,33,469,4,0,0,2,3,0,0,0,0,0,0,1,0
Tom BradyT. Brady,NE,NE@PIT,38.00,43,30,350,3,0,0,1,3,1,0,0,0,0,0,0,0
Roddy WhiteR. White,ATL,BAL@ATL,37.00,0,0,0,0,0,0,0,0,0,0,12,138,2,0,0,0
Kyle OrtonK. Orton,DEN,KC@DEN,35.00,34,22,296,4,0,0,1,-1,0,0,0,0,0,0,0,0
Keiland WilliamsK. Williams,WAS,PHI@WAS,35.00,0,0,0,0,0,0,16,89,2,0,4,50,1,0,0,0
Fred JacksonF. Jackson,BUF,DET@BUF,33.00,0,0,0,0,0,0,25,133,1,0,6,37,1,0,1,0
Mike WallaceM. Wallace,PIT,NE@PIT,33.00,0,0,0,0,0,0,0,0,0,0,8,136,2,0,0,0
Ben RoethlisbergerB. Roethlisberger,PIT,NE@PIT,32.00,49,30,387,3,1,0,1,12,0,0,0,0,0,0,0,0
Rob GronkowskiR. Gronkowski,NE,NE@PIT,30.00,0,0,0,0,0,0,0,0,0,0,5,72,3,0,0,0
Matt RyanM. Ryan,ATL,BAL@ATL,30.00,50,32,316,3,0,0,1,5,0,0,0,0,0,0,0,0
Andre JohnsonA. Johnson,HOU,HOU@JAX,29.00,0,0,0,0,0,0,0,0,0,0,9,146,1,0,0,0
Jon KitnaJ. Kitna,DAL,DAL@NYG,29.00,22,13,327,3,1,0,5,2,0,0,0,0,0,0,0,0
Mike ThomasM. Thomas,JAX,HOU@JAX,29.00,0,0,0,0,0,0,2,18,0,0,8,149,1,0,0,0
David GarrardD. Garrard,JAX,HOU@JAX,28.00,31,24,342,2,0,0,7,35,0,0,0,0,0,0,0,0
Steven JacksonS. Jackson,STL,STL@SF,28.00,0,0,0,0,0,0,20,81,1,0,8,67,0,0,0,0
Calvin JohnsonC. Johnson,DET,DET@BUF,28.00,0,0,0,0,0,0,0,0,0,0,10,128,1,0,0,0
Brandon LloydB. Lloyd,DEN,KC@DEN,27.00,0,0,0,0,0,0,0,0,0,0,6,90,2,0,0,0
Mark SanchezM. Sanchez,NYJ,NYJ@CLE,27.00,44,27,299,2,1,0,2,4,1,0,0,0,0,0,0,0
Maurice Jones-DrewM. Jones-Drew,JAX,HOU@JAX,26.00,0,0,0,0,0,0,24,100,2,0,2,23,0,0,0,0
Jay CutlerJ. Cutler,CHI,MIN@CHI,25.00,35,22,237,3,2,0,4,24,0,0,0,0,0,0,0,0
Joe FlaccoJ. Flacco,BAL,BAL@ATL,25.00,34,22,215,3,1,0,3,13,0,0,0,0,0,0,0,0
Mario ManninghamM. Manningham,NYG,DAL@NYG,25.00,0,0,0,0,0,0,0,0,0,0,10,91,1,0,0,0
Matt SchaubM. Schaub,HOU,HOU@JAX,25.00,32,22,314,2,0,0,3,14,0,0,0,0,0,0,0,0
Mike WilliamsM. Williams,SEA,SEA@ARI,25.00,0,0,0,0,0,0,1,0,0,0,11,145,0,0,0,0
Knowshon MorenoK. Moreno,DEN,KC@DEN,24.00,0,0,0,0,0,0,22,106,0,0,3,50,1,0,0,0
Jamaal CharlesJ. Charles,KC,KC@DEN,23.00,0,0,0,0,0,0,14,41,0,0,5,80,1,0,0,0
Frank GoreF. Gore,SF,STL@SF,23.00,0,0,0,0,0,0,22,87,1,0,3,67,0,0,0,0
Eli ManningE. Manning,NYG,DAL@NYG,23.00,48,33,373,2,2,0,3,17,0,0,0,0,0,0,0,0
Jermaine GreshamJ. Gresham,CIN,CIN@IND,22.00,0,0,0,0,0,0,0,0,0,0,9,85,1,0,1,0
Felix JonesF. Jones,DAL,DAL@NYG,22.00,0,0,0,0,0,0,14,51,0,0,3,85,1,0,0,0
Anthony FasanoA. Fasano,MIA,TEN@MIA,21.00,0,0,0,0,0,0,0,0,0,0,5,107,1,0,0,0
Josh FreemanJ. Freeman,TB,CAR@TB,21.00,24,18,241,2,0,0,5,19,0,0,0,0,0,0,1,0
Chad JohnsonC. Johnson,CIN,CIN@IND,21.00,0,0,0,0,0,0,0,0,0,0,7,86,1,0,0,0
Troy SmithT. Smith,STL,STL@SF,21.00,28,17,356,1,0,0,3,12,0,0,0,0,0,0,0,0
Kevin WalterK. Walter,HOU,HOU@JAX,21.00,0,0,0,0,0,0,0,0,0,0,6,90,1,0,0,0
LeSean McCoyL. McCoy,PHI,PHI@WAS,20.00,0,0,0,0,0,0,11,43,0,0,5,51,1,0,0,0
Danny AmendolaD. Amendola,STL,STL@SF,19.00,0,0,0,0,0,0,2,12,0,0,7,51,1,0,0,0
