Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Dan CarpenterD. Carpenter,MIA,PIT@MIA,16.00,1,1,5,5,0
Connor BarthC. Barth,TB,STL@TB,14.00,0,0,4,4,1
David AkersD. Akers,PHI,PHI@TEN,13.00,1,1,4,4,0
Rob BironasR. Bironas,TEN,PHI@TEN,13.00,4,4,3,3,0
Billy CundiffB. Cundiff,BAL,BUF@BAL,13.00,4,4,3,3,0
John KasayJ. Kasay,CAR,SF@CAR,13.00,2,2,3,3,1
Lawrence TynesL. Tynes,NYG,NYG@DAL,13.00,5,5,2,2,1
Phil DawsonP. Dawson,CLE,CLE@NO,12.00,3,3,3,3,0
Rian LindellR. Lindell,BUF,BUF@BAL,12.00,4,4,2,2,1
Stephen GostkowskiS. Gostkowski,NE,NE@SD,11.00,2,2,3,3,0
Sebastian JanikowskiS. Janikowski,OAK,OAK@DEN,11.00,8,8,1,1,0
Jeff ReedJ. Reed,PIT,PIT@MIA,11.00,2,2,3,3,0
David BuehlerD. Buehler,DAL,NYG@DAL,9.00,3,3,2,2,0
Kris BrownK. Brown,NE,NE@SD,8.00,2,2,3,2,0
Joe NedneyJ. Nedney,SF,SF@CAR,8.00,2,2,2,2,0
Mike NugentM. Nugent,CIN,CIN@ATL,8.00,2,2,3,2,0
Josh ScobeeJ. Scobee,JAX,JAX@KC,8.00,2,2,2,2,0
Matt BryantM. Bryant,ATL,CIN@ATL,7.00,4,4,1,1,0
Ryan LongwellR. Longwell,MIN,MIN@GB,6.00,3,3,1,1,0
Ryan SuccopR. Succop,KC,JAX@KC,6.00,6,6,0,0,0
Josh BrownJ. Brown,STL,STL@TB,5.00,2,2,1,1,0
Graham GanoG. Gano,WAS,WAS@CHI,5.00,2,2,2,1,0
Garrett HartleyG. Hartley,NO,CLE@NO,5.00,2,2,1,1,0
Mason CrosbyM. Crosby,GB,MIN@GB,4.00,4,4,0,0,0
Jay FeelyJ. Feely,ARI,ARI@SEA,4.00,1,1,1,1,0
Robbie GouldR. Gould,CHI,WAS@CHI,2.00,2,2,0,0,0
Matt PraterM. Prater,DEN,OAK@DEN,2.00,2,2,0,0,0
